"","site","types","auc_score","n_points"
"530","Giants","Eucalyptus jacksonii",0.745466825977856,151
"531","Carey","Corymbia calophylla",0.620414733886719,16
"532","Supersite","Eucalyptus obliqua",0.535073707217262,105
"533","HardyCreek","Eucalyptus regnans",0.518960722794769,141
"534","Mackenzie","Eucalyptus delegatensis",0.517853197468891,221
"535","Candelo","Eucalyptus cypellocarpa",0.592014857700893,21
"536","Goodenia","Eucalyptus fastigata",0.565086793363764,89
"537","WaratahMix","Eucalyptus radiata",0.601821727966994,89
"538","WogWay","Eucalyptus viminalis",0.659976414271763,112
"539","Goodenia","Eucalyptus sieberi",0.653384399414062,20
"540","Bruxner","Eucalyptus microcorys",0.664164225260417,12
"541","Bruxner","Eucalyptus pilularis",0.855987548828125,12
"542","Bruxner","Syncarpia glomulifera subsp glabra",0.74029541015625,26
"543","BlackBull","Eucalyptus saligna",0.681371053059896,12
"544","BlackBull","Eucalyptus andrewsii",0.697337431066177,17
"545","Osullivans","Syncarpia glomulifera subsp glomulifera",0.566424919577206,85
"546","Koombooloomba","Eucalyptus grandis",0.592119891826923,65
"547","Koombooloomba","Corymbia intermedia",0.628977457682292,12
"548","Koombooloomba","Syncarpia glomulifera",0.502963158392137,31
"549","BlackRiver","Eucalyptus ovata",0.600381785425647,58
"550","Dombakup","Eucalyptus diversicolor",0.522993134289253,82
"551","Clare","Eucalyptus guilfoylei",0.632680257161458,12
"552","MtMaurice","Non-euc",0.603205894356343,67
"553","Giants","Eucalyptus jacksonii",0.745466825977856,151
"554","Carey","Corymbia calophylla",0.620414733886719,16
"555","Supersite","Eucalyptus obliqua",0.535073707217262,105
"556","HardyCreek","Eucalyptus regnans",0.518960722794769,141
"557","MtMaurice","Eucalyptus delegatensis",0.600081867232746,259
"558","Candelo","Eucalyptus cypellocarpa",0.592014857700893,21
"559","Goodenia","Eucalyptus fastigata",0.565086793363764,89
"560","WaratahMix","Eucalyptus radiata",0.601821727966994,89
"561","WogWay","Eucalyptus viminalis",0.659976414271763,112
"562","Goodenia","Eucalyptus sieberi",0.653384399414062,20
"563","Bruxner","Eucalyptus microcorys",0.664164225260417,12
"564","Bruxner","Eucalyptus pilularis",0.855987548828125,12
"565","Bruxner","Syncarpia glomulifera subsp glabra",0.74029541015625,26
"566","BlackBull","Eucalyptus saligna",0.681371053059896,12
"567","BlackBull","Eucalyptus andrewsii",0.697337431066177,17
"568","Osullivans","Syncarpia glomulifera subsp glomulifera",0.566424919577206,85
"569","Koombooloomba","Eucalyptus grandis",0.592119891826923,65
"570","Koombooloomba","Corymbia intermedia",0.628977457682292,12
"571","Koombooloomba","Syncarpia glomulifera",0.502963158392137,31
"572","BlackRiver","Eucalyptus ovata",0.600381785425647,58
"573","MtMaurice","Eucalyptus dalrympleana",0.589911566840278,72
"574","Dombakup","Eucalyptus diversicolor",0.522993134289253,82
"575","Clare","Eucalyptus guilfoylei",0.632680257161458,12
"576","BenRidge","Non-euc",0.511601352235347,209
"577","Giants","Eucalyptus jacksonii",0.745466825977856,151
"578","Carey","Corymbia calophylla",0.620414733886719,16
"579","Supersite","Eucalyptus obliqua",0.535073707217262,105
"580","HardyCreek","Eucalyptus regnans",0.518960722794769,141
"581","BenRidge","Eucalyptus delegatensis",0.522483543113426,324
"582","Candelo","Eucalyptus cypellocarpa",0.592014857700893,21
"583","Goodenia","Eucalyptus fastigata",0.565086793363764,89
"584","WaratahMix","Eucalyptus radiata",0.601821727966994,89
"585","WogWay","Eucalyptus viminalis",0.659976414271763,112
"586","Goodenia","Eucalyptus sieberi",0.653384399414062,20
"587","Bruxner","Eucalyptus microcorys",0.664164225260417,12
"588","Bruxner","Eucalyptus pilularis",0.855987548828125,12
"589","Bruxner","Syncarpia glomulifera subsp glabra",0.74029541015625,26
"590","BlackBull","Eucalyptus saligna",0.681371053059896,12
"591","BlackBull","Eucalyptus andrewsii",0.697337431066177,17
"592","Osullivans","Syncarpia glomulifera subsp glomulifera",0.566424919577206,85
"593","Koombooloomba","Eucalyptus grandis",0.592119891826923,65
"594","Koombooloomba","Corymbia intermedia",0.628977457682292,12
"595","Koombooloomba","Syncarpia glomulifera",0.502963158392137,31
"596","BlackRiver","Eucalyptus ovata",0.600381785425647,58
"597","MtMaurice","Eucalyptus dalrympleana",0.589911566840278,72
"598","Dombakup","Eucalyptus diversicolor",0.522993134289253,82
"599","Clare","Eucalyptus guilfoylei",0.632680257161458,12
"600","MtField","Non-euc",0.52470986137177,358
"601","Giants","Eucalyptus jacksonii",0.745466825977856,151
"602","Carey","Corymbia calophylla",0.620414733886719,16
"603","Supersite","Eucalyptus obliqua",0.535073707217262,105
"604","HardyCreek","Eucalyptus regnans",0.518960722794769,141
"605","MtField","Eucalyptus delegatensis",0.636847301922013,113
"606","Candelo","Eucalyptus cypellocarpa",0.592014857700893,21
"607","Goodenia","Eucalyptus fastigata",0.565086793363764,89
"608","WaratahMix","Eucalyptus radiata",0.601821727966994,89
"609","WogWay","Eucalyptus viminalis",0.659976414271763,112
"610","Goodenia","Eucalyptus sieberi",0.653384399414062,20
"611","Bruxner","Eucalyptus microcorys",0.664164225260417,12
"612","Bruxner","Eucalyptus pilularis",0.855987548828125,12
"613","Bruxner","Syncarpia glomulifera subsp glabra",0.74029541015625,26
"614","BlackBull","Eucalyptus saligna",0.681371053059896,12
"615","BlackBull","Eucalyptus andrewsii",0.697337431066177,17
"616","Osullivans","Syncarpia glomulifera subsp glomulifera",0.566424919577206,85
"617","Koombooloomba","Eucalyptus grandis",0.592119891826923,65
"618","Koombooloomba","Corymbia intermedia",0.628977457682292,12
"619","Koombooloomba","Syncarpia glomulifera",0.502963158392137,31
"620","BlackRiver","Eucalyptus ovata",0.600381785425647,58
