"","from","to","alpha","lo","hi","lo_numerical","hi_numerical","Potential","site","range_ci","species_from","species_to","class_from","class_to","sig","region","region2"
"49","Eucalyptus diversicolor Co/dominant","Eucalyptus diversicolor Co/dominant",-0.179074965581112,-0.499170302301538,0.141020371139314,-0.184354108829615,-0.173795822332609,"Potential 1","Dawson",0.640190673440852,"Eucalyptus diversicolor","Eucalyptus diversicolor","Co/dominant","Co/dominant",NA,"WA","WA"
"50","Eucalyptus diversicolor Suppressed","Eucalyptus diversicolor Co/dominant",0.0666577335830692,-0.131131237179097,0.264446704345236,0.0638414450732306,0.0694740220929079,"Potential 1","Dawson",0.395577941524333,"Eucalyptus diversicolor","Eucalyptus diversicolor","Suppressed","Co/dominant",NA,"WA","WA"
"51","Non-euc Suppressed","Eucalyptus diversicolor Co/dominant",-0.0890232608932174,-0.238497345585386,0.0604508237989514,-0.0923593611677972,-0.0856871606186376,"Potential 1","Dawson",0.298948169384337,"Non-euc","Eucalyptus diversicolor","Suppressed","Co/dominant",NA,"WA","WA"
"52","Eucalyptus diversicolor Suppressed","Eucalyptus diversicolor Suppressed",0.134037269681681,-0.115191313559473,0.383265852922835,0.129199016637346,0.138875522726017,"Potential 1","Dawson",0.498457166482308,"Eucalyptus diversicolor","Eucalyptus diversicolor","Suppressed","Suppressed",NA,"WA","WA"
"53","Non-euc Suppressed","Eucalyptus diversicolor Suppressed",-0.0207612022598289,-0.17453321913104,0.133010814611382,-0.0237406314973669,-0.0177817730222909,"Potential 1","Dawson",0.307544033742422,"Non-euc","Eucalyptus diversicolor","Suppressed","Suppressed",NA,"WA","WA"
"54","Non-euc Suppressed","Non-euc Suppressed",0.243777608459692,0.131025846802603,0.356529370116781,0.236683663632338,0.250871553287046,"Potential 1","Dawson",0.225503523314179,"Non-euc","Non-euc","Suppressed","Suppressed",1,"WA","WA"
"55","Corymbia calophylla Suppressed","Corymbia calophylla Suppressed",0.28542370590116,-0.192552253777547,0.763399665579866,0.27939818956891,0.29144922223341,"Potential 1","Carey",0.955951919357413,"Corymbia calophylla","Corymbia calophylla","Suppressed","Suppressed",NA,"WA","WA"
"56","Eucalyptus diversicolor Co/dominant","Corymbia calophylla Suppressed",-0.0778900634508413,-0.291013083537377,0.135232956635694,-0.0803588000186393,-0.0754213268830432,"Potential 1","Carey",0.426246040173071,"Eucalyptus diversicolor","Corymbia calophylla","Co/dominant","Suppressed",NA,"WA","WA"
"57","Non-euc Suppressed","Corymbia calophylla Suppressed",-0.0928697371593678,-0.319033565034037,0.133294090715301,-0.0955216967723638,-0.0902177775463719,"Potential 1","Carey",0.452327655749339,"Non-euc","Corymbia calophylla","Suppressed","Suppressed",NA,"WA","WA"
"58","Eucalyptus diversicolor Co/dominant","Eucalyptus diversicolor Co/dominant",-0.062618024615772,-0.353738454354751,0.228502405123207,-0.0673021438240752,-0.0579339054074688,"Potential 1","Carey",0.582240859477957,"Eucalyptus diversicolor","Eucalyptus diversicolor","Co/dominant","Co/dominant",NA,"WA","WA"
"59","Non-euc Suppressed","Eucalyptus diversicolor Co/dominant",-0.0539495208351671,-0.198928366421685,0.0910293247513506,-0.0561722408368523,-0.051726800833482,"Potential 1","Carey",0.289957691173035,"Non-euc","Eucalyptus diversicolor","Suppressed","Co/dominant",NA,"WA","WA"
"60","Non-euc Suppressed","Non-euc Suppressed",0.23548516851513,0.0422861720495242,0.428684164980736,0.230013999911821,0.240956337118438,"Potential 1","Carey",0.386397992931211,"Non-euc","Non-euc","Suppressed","Suppressed",1,"WA","WA"
"61","Eucalyptus diversicolor Co/dominant","Eucalyptus diversicolor Co/dominant",-0.126733544444638,-0.533189913951388,0.279722825062112,-0.132539767483826,-0.120927321405449,"Potential 1","Dombakup",0.8129127390135,"Eucalyptus diversicolor","Eucalyptus diversicolor","Co/dominant","Co/dominant",NA,"WA","WA"
"62","Eucalyptus diversicolor Suppressed","Eucalyptus diversicolor Co/dominant",0.055546303725805,-0.152524981541444,0.263617588993054,0.0522042515930493,0.0588883558585608,"Potential 1","Dombakup",0.416142570534499,"Eucalyptus diversicolor","Eucalyptus diversicolor","Suppressed","Co/dominant",NA,"WA","WA"
"63","Non-euc Suppressed","Eucalyptus diversicolor Co/dominant",-0.00485086736628683,-0.110727508399107,0.101025773666533,-0.00785394895404467,-0.001847785778529,"Potential 1","Dombakup",0.211753282065639,"Non-euc","Eucalyptus diversicolor","Suppressed","Co/dominant",NA,"WA","WA"
"64","Eucalyptus diversicolor Suppressed","Eucalyptus diversicolor Suppressed",0.200895727131946,-0.0705118724527964,0.472303326716689,0.195395125259728,0.206396329004164,"Potential 1","Dombakup",0.542815199169485,"Eucalyptus diversicolor","Eucalyptus diversicolor","Suppressed","Suppressed",NA,"WA","WA"
"65","Non-euc Suppressed","Eucalyptus diversicolor Suppressed",-0.0241034904981935,-0.0939388857905246,0.0457319047941376,-0.0262733254386184,-0.0219336555577686,"Potential 1","Dombakup",0.139670790584662,"Non-euc","Eucalyptus diversicolor","Suppressed","Suppressed",NA,"WA","WA"
"66","Non-euc Suppressed","Non-euc Suppressed",0.265366991608662,0.155936938025697,0.374797045191627,0.254981896117584,0.27575208709974,"Potential 1","Dombakup",0.21886010716593,"Non-euc","Non-euc","Suppressed","Suppressed",1,"WA","WA"
"67","Eucalyptus obliqua Suppressed","Eucalyptus obliqua Suppressed",-0.247901151180172,-1.08363810842614,0.587835806065792,-0.264085465271222,-0.231716837089121,"Potential 1","Weld",1.67147391449193,"Eucalyptus obliqua","Eucalyptus obliqua","Suppressed","Suppressed",NA,"S_TAS","TAS"
"68","Eucalyptus regnans Co/dominant","Eucalyptus obliqua Suppressed",0.344856963150297,-0.0837768591360364,0.77349078543663,0.33455821180228,0.355155714498314,"Potential 1","Weld",0.857267644572666,"Eucalyptus regnans","Eucalyptus obliqua","Co/dominant","Suppressed",NA,"S_TAS","TAS"
"69","Eucalyptus regnans Suppressed","Eucalyptus obliqua Suppressed",0.854982848188827,-0.386089948599099,2.09605564497675,0.829718409336844,0.88024728704081,"Potential 1","Weld",2.48214559357585,"Eucalyptus regnans","Eucalyptus obliqua","Suppressed","Suppressed",NA,"S_TAS","TAS"
"70","Non-euc Co/dominant","Eucalyptus obliqua Suppressed",-0.269336720283155,-1.04182469585015,0.50315125528384,-0.281135070544899,-0.257538370021411,"Potential 1","Weld",1.54497595113399,"Non-euc","Eucalyptus obliqua","Co/dominant","Suppressed",NA,"S_TAS","TAS"
"71","Non-euc Intermediate","Eucalyptus obliqua Suppressed",0.175479619864341,-0.653051960404201,1.00401120013288,0.162700690661644,0.188258549067039,"Potential 1","Weld",1.65706316053708,"Non-euc","Eucalyptus obliqua","Intermediate","Suppressed",NA,"S_TAS","TAS"
"72","Non-euc Suppressed","Eucalyptus obliqua Suppressed",-0.00575958087870377,-0.325147960228258,0.31362879847085,-0.0113567607659093,-0.000162400991498208,"Potential 1","Weld",0.638776758699108,"Non-euc","Eucalyptus obliqua","Suppressed","Suppressed",NA,"S_TAS","TAS"
"73","Eucalyptus regnans Co/dominant","Eucalyptus regnans Co/dominant",-0.0016388004770625,-0.277398734734966,0.274121133780841,-0.00950309324910158,0.00622549229497657,"Potential 1","Weld",0.551519868515807,"Eucalyptus regnans","Eucalyptus regnans","Co/dominant","Co/dominant",NA,"S_TAS","TAS"
"74","Eucalyptus regnans Suppressed","Eucalyptus regnans Co/dominant",0.419483552541608,-0.228085102061179,1.06705220714439,0.406433164347937,0.432533940735278,"Potential 1","Weld",1.29513730920557,"Eucalyptus regnans","Eucalyptus regnans","Suppressed","Co/dominant",NA,"S_TAS","TAS"
"75","Non-euc Co/dominant","Eucalyptus regnans Co/dominant",-0.190846553622246,-0.417431838327924,0.0357387310834311,-0.196382016416568,-0.185311090827925,"Potential 1","Weld",0.453170569411355,"Non-euc","Eucalyptus regnans","Co/dominant","Co/dominant",NA,"S_TAS","TAS"
"76","Non-euc Intermediate","Eucalyptus regnans Co/dominant",0.219126593165357,-0.321188117203066,0.759441303533779,0.210800640257275,0.227452546073438,"Potential 1","Weld",1.08062942073684,"Non-euc","Eucalyptus regnans","Intermediate","Co/dominant",NA,"S_TAS","TAS"
"77","Non-euc Suppressed","Eucalyptus regnans Co/dominant",0.248130862107297,0.0625719679866878,0.433689756227907,0.243350924953561,0.252910799261033,"Potential 1","Weld",0.371117788241219,"Non-euc","Eucalyptus regnans","Suppressed","Co/dominant",1,"S_TAS","TAS"
"78","Eucalyptus regnans Suppressed","Eucalyptus regnans Suppressed",-1.88040551371839,-4.06590440659648,0.305093379159689,-1.92582485241508,-1.83498617502171,"Potential 1","Weld",4.37099778575617,"Eucalyptus regnans","Eucalyptus regnans","Suppressed","Suppressed",NA,"S_TAS","TAS"
"79","Non-euc Co/dominant","Eucalyptus regnans Suppressed",0.0750779809780315,-0.703558066093246,0.853714028049309,0.0642234761890774,0.0859324857669857,"Potential 1","Weld",1.55727209414255,"Non-euc","Eucalyptus regnans","Co/dominant","Suppressed",NA,"S_TAS","TAS"
"80","Non-euc Intermediate","Eucalyptus regnans Suppressed",-1.09845199670417,-2.45355146794825,0.256647474539923,-1.11917361473738,-1.07773037867095,"Potential 1","Weld",2.71019894248818,"Non-euc","Eucalyptus regnans","Intermediate","Suppressed",NA,"S_TAS","TAS"
"81","Non-euc Suppressed","Eucalyptus regnans Suppressed",-0.520996871577524,-1.4602540783937,0.418260335238656,-0.531093331867471,-0.510900411287577,"Potential 1","Weld",1.87851441363236,"Non-euc","Eucalyptus regnans","Suppressed","Suppressed",NA,"S_TAS","TAS"
"82","Non-euc Co/dominant","Non-euc Co/dominant",0.407643143947413,0.223790898991573,0.591495388903252,0.396091523937001,0.419194763957824,"Potential 1","Weld",0.367704489911679,"Non-euc","Non-euc","Co/dominant","Co/dominant",1,"S_TAS","TAS"
"83","Non-euc Intermediate","Non-euc Co/dominant",-0.233270125564711,-0.773203487890183,0.306663236760762,-0.240355091976024,-0.226185159153397,"Potential 1","Weld",1.07986672465094,"Non-euc","Non-euc","Intermediate","Co/dominant",NA,"S_TAS","TAS"
"84","Non-euc Suppressed","Non-euc Co/dominant",0.0590797267185736,-0.0455726160326698,0.163732069469817,0.0550775527479126,0.0630819006892347,"Potential 1","Weld",0.209304685502487,"Non-euc","Non-euc","Suppressed","Co/dominant",NA,"S_TAS","TAS"
"85","Non-euc Intermediate","Non-euc Intermediate",-0.943348146523733,-2.35477982067694,0.468083527629479,-0.958342744459127,-0.928353548588338,"Potential 1","Weld",2.82286334830642,"Non-euc","Non-euc","Intermediate","Intermediate",NA,"S_TAS","TAS"
"86","Non-euc Suppressed","Non-euc Intermediate",-0.14116937851121,-0.439557035556805,0.157218278534385,-0.146604052636015,-0.135734704386405,"Potential 1","Weld",0.59677531409119,"Non-euc","Non-euc","Suppressed","Intermediate",NA,"S_TAS","TAS"
"87","Non-euc Suppressed","Non-euc Suppressed",0.124037562164461,-0.0893054208363625,0.337380545165284,0.114943808291275,0.133131316037647,"Potential 1","Weld",0.426685966001647,"Non-euc","Non-euc","Suppressed","Suppressed",NA,"S_TAS","TAS"
"88","Eucalyptus obliqua Co/dominant","Eucalyptus obliqua Co/dominant",-0.298789058368833,-0.531103657347412,-0.0664744593902533,-0.308287009685877,-0.289291107051789,"Potential 1","ZigZag",0.464629197957159,"Eucalyptus obliqua","Eucalyptus obliqua","Co/dominant","Co/dominant",1,"S_TAS","TAS"
"89","Eucalyptus obliqua Intermediate","Eucalyptus obliqua Co/dominant",0.245371969296043,0.0373941994514247,0.453349739140662,0.240194593893895,0.250549344698192,"Potential 1","ZigZag",0.415955539689237,"Eucalyptus obliqua","Eucalyptus obliqua","Intermediate","Co/dominant",1,"S_TAS","TAS"
"90","Eucalyptus obliqua Suppressed","Eucalyptus obliqua Co/dominant",-0.00816146370370447,-0.128985019134162,0.112662091726753,-0.0115146708045441,-0.00480825660286487,"Potential 1","ZigZag",0.241647110860915,"Eucalyptus obliqua","Eucalyptus obliqua","Suppressed","Co/dominant",NA,"S_TAS","TAS"
"91","Non-euc Suppressed","Eucalyptus obliqua Co/dominant",-0.0408081196303925,-0.0908025039715911,0.00918626471080612,-0.0435361599286409,-0.0380800793321441,"Potential 1","ZigZag",0.0999887686823972,"Non-euc","Eucalyptus obliqua","Suppressed","Co/dominant",NA,"S_TAS","TAS"
"92","Eucalyptus obliqua Intermediate","Eucalyptus obliqua Intermediate",-0.0477981614055198,-0.380430668294939,0.284834345483899,-0.0548416467972476,-0.0407546760137919,"Potential 1","ZigZag",0.665265013778838,"Eucalyptus obliqua","Eucalyptus obliqua","Intermediate","Intermediate",NA,"S_TAS","TAS"
"93","Eucalyptus obliqua Suppressed","Eucalyptus obliqua Intermediate",0.0794834168998998,-0.0841542648847645,0.243121098684564,0.0760692192915837,0.0828976145082159,"Potential 1","ZigZag",0.327275363569329,"Eucalyptus obliqua","Eucalyptus obliqua","Suppressed","Intermediate",NA,"S_TAS","TAS"
"94","Non-euc Suppressed","Eucalyptus obliqua Intermediate",-0.00313118390353635,-0.0528548193156771,0.0465924515086045,-0.00461012674335065,-0.00165224106372205,"Potential 1","ZigZag",0.0994472708242816,"Non-euc","Eucalyptus obliqua","Suppressed","Intermediate",NA,"S_TAS","TAS"
"95","Eucalyptus obliqua Suppressed","Eucalyptus obliqua Suppressed",0.178714029303111,0.0115229902503352,0.345905068355886,0.172796217537115,0.184631841069106,"Potential 1","ZigZag",0.334382078105551,"Eucalyptus obliqua","Eucalyptus obliqua","Suppressed","Suppressed",1,"S_TAS","TAS"
