"","from","to","alpha","lo","hi","lo_numerical","hi_numerical","Fit"
"85","Eucalyptus regnans Intermediate","Eucalyptus regnans Dominant",0.396168531189194,-0.091279676582968,0.883616738961357,0.385689380536992,0.406647681841396,"Weeaproinah"
"95","Eucalyptus regnans Suppressed","Eucalyptus regnans Dominant",0.297119860020537,-0.0538512909411004,0.648091010982175,0.291659698698202,0.302580021342872,"Weeaproinah"
"105","Non-euc Suppressed","Eucalyptus regnans Dominant",0.009727164307468,-0.0633192238628238,0.0827735524777597,0.00775000578191415,0.0117043228330218,"Weeaproinah"
"135","Eucalyptus regnans Intermediate","Eucalyptus regnans Intermediate",-0.564191661700066,-1.03580256361989,-0.0925807597802459,-0.576675810833529,-0.551707512566603,"Weeaproinah"
"145","Eucalyptus regnans Suppressed","Eucalyptus regnans Intermediate",-0.219923229457076,-0.453427031196578,0.0135805722824265,-0.224276806191725,-0.215569652722426,"Weeaproinah"
"155","Non-euc Suppressed","Eucalyptus regnans Intermediate",0.0331144140833251,-0.0629119783791325,0.129140806545783,0.0304138109231175,0.0358150172435326,"Weeaproinah"
"195","Eucalyptus regnans Suppressed","Eucalyptus regnans Suppressed",0.0963334692394671,-0.103240991688548,0.295907930167482,0.0900570568177757,0.102609881661158,"Weeaproinah"
"205","Non-euc Suppressed","Eucalyptus regnans Suppressed",0.0141631763102376,-0.0348227195791994,0.0631490721996746,0.0124123163781361,0.0159140362423391,"Weeaproinah"
"255","Non-euc Suppressed","Non-euc Suppressed",0.189839442940304,0.0885801819262518,0.291098703954356,0.174029441964415,0.205649443916193,"Weeaproinah"
"110","Eucalyptus regnans Co-dominant","Eucalyptus regnans Co-dominant",-0.00545416075912222,-0.188548491458134,0.17764016993989,-0.0113666155090471,0.000458293990802662,"Lardner"
"27","Eucalyptus regnans Dominant","Eucalyptus regnans Co-dominant",-0.133672416211643,-0.348505197299522,0.0811603648762355,-0.13690911721967,-0.130435715203617,"Lardner"
"36","Eucalyptus regnans Intermediate","Eucalyptus regnans Co-dominant",0.00472810449905585,-0.191348663404127,0.200804872402239,0.00111967612255783,0.00833653287555388,"Lardner"
"46","Eucalyptus regnans Suppressed","Eucalyptus regnans Co-dominant",0.0190941739116991,-0.378332746265537,0.416521094088935,0.0130431311280427,0.0251452166953555,"Lardner"
"56","Non-euc Suppressed","Eucalyptus regnans Co-dominant",-0.0136738823588616,-0.0985970669871647,0.0712493022694415,-0.0172363569638122,-0.010111407753911,"Lardner"
"76","Eucalyptus regnans Dominant","Eucalyptus regnans Dominant",-0.505343931688641,-1.11603711941135,0.105349256034065,-0.512257230097763,-0.498430633279518,"Lardner"
"86","Eucalyptus regnans Intermediate","Eucalyptus regnans Dominant",0.110029811118535,-0.320255530650313,0.540315152887384,0.104315366829921,0.115744255407149,"Lardner"
"96","Eucalyptus regnans Suppressed","Eucalyptus regnans Dominant",-0.39073528784768,-1.31186594326754,0.530395367572175,-0.404049792526448,-0.377420783168912,"Lardner"
