"","from","to","alpha","lo","hi","lo_numerical","hi_numerical","Potential","site","range_ci","class_from","class_to","species_from","species_to","class_int","georegion","region","sig","cc_to","cc_from","cc_int"
"27","Eucalyptus jacksonii small","Eucalyptus jacksonii small",-0.945782040444311,-2.15705668635145,0.26549260546283,-0.957358929228706,-0.934205151659916,"Potential 1","Clare",2.42254929181428,"small","small","Eucalyptus jacksonii","Eucalyptus jacksonii","small_small","S_WA","WA",NA,"Canopy","Canopy","Canopy_Canopy"
"28","Acacia melanoxylon small","Acacia melanoxylon small",0.463251919253888,0.205446706373715,0.721057132134061,0.444172019987133,0.482331818520643,"Potential 1","Sutton",0.515610425760346,"small","small","Acacia melanoxylon","Acacia melanoxylon","small_small","N_WA","WA","1","Subcanopy","Subcanopy","Subcanopy_Subcanopy"
"29","Corymbia calophylla large","Acacia melanoxylon small",0.0477968767641689,-0.320476989901677,0.416070743430015,0.0404967305162678,0.0550970230120701,"Potential 1","Sutton",0.736547733331692,"large","small","Corymbia calophylla","Acacia melanoxylon","large_small","N_WA","WA",NA,"Subcanopy","Canopy","Canopy_Subcanopy"
"30","Corymbia calophylla small","Acacia melanoxylon small",-0.000306036911430009,-0.140681918146616,0.140069844323756,-0.0038008193324161,0.00318874550955608,"Potential 1","Sutton",0.280751762470373,"small","small","Corymbia calophylla","Acacia melanoxylon","small_small","N_WA","WA",NA,"Subcanopy","Canopy","Canopy_Subcanopy"
"31","Eucalyptus diversicolor large","Acacia melanoxylon small",-0.056042182433286,-0.189642313882013,0.0775579490154407,-0.0586334863885973,-0.0534508784779747,"Potential 1","Sutton",0.267200262897453,"large","small","Eucalyptus diversicolor","Acacia melanoxylon","large_small","N_WA","WA",NA,"Subcanopy","Canopy","Canopy_Subcanopy"
"32","Eucalyptus diversicolor small","Acacia melanoxylon small",-0.110510506615559,-0.233336997391712,0.0123159841605946,-0.114142753286521,-0.106878259944597,"Potential 1","Sutton",0.245652981552307,"small","small","Eucalyptus diversicolor","Acacia melanoxylon","small_small","N_WA","WA",NA,"Subcanopy","Canopy","Canopy_Subcanopy"
"33","Corymbia calophylla large","Corymbia calophylla large",-0.837927470486658,-2.34460068058728,0.66874573961396,-0.861731866053929,-0.814123074919387,"Potential 1","Sutton",3.01334642020124,"large","large","Corymbia calophylla","Corymbia calophylla","large_large","N_WA","WA",NA,"Canopy","Canopy","Canopy_Canopy"
"34","Corymbia calophylla small","Corymbia calophylla large",0.520428624711383,-0.162243650047027,1.20310089946979,0.509857753711422,0.530999495711344,"Potential 1","Sutton",1.36534454951682,"small","large","Corymbia calophylla","Corymbia calophylla","small_large","N_WA","WA",NA,"Canopy","Canopy","Canopy_Canopy"
"35","Eucalyptus diversicolor large","Corymbia calophylla large",-0.544400289994243,-1.16470986201684,0.0759092820283523,-0.554699593502938,-0.534100986485547,"Potential 1","Sutton",1.24061914404519,"large","large","Eucalyptus diversicolor","Corymbia calophylla","large_large","N_WA","WA",NA,"Canopy","Canopy","Canopy_Canopy"
"36","Eucalyptus diversicolor small","Corymbia calophylla large",-0.0189169623467566,-0.266218779427995,0.228384854734482,-0.0254554369066395,-0.0123784877868738,"Potential 1","Sutton",0.494603634162476,"small","large","Eucalyptus diversicolor","Corymbia calophylla","small_large","N_WA","WA",NA,"Canopy","Canopy","Canopy_Canopy"
"37","Corymbia calophylla small","Corymbia calophylla small",0.350390570366934,0.070133725341366,0.630647415392503,0.339646954047121,0.361134186686748,"Potential 1","Sutton",0.560513690051137,"small","small","Corymbia calophylla","Corymbia calophylla","small_small","N_WA","WA","1","Canopy","Canopy","Canopy_Canopy"
"38","Eucalyptus diversicolor large","Corymbia calophylla small",0.16332330884911,-0.0617894470301332,0.388436064728352,0.15942861861838,0.167217999079839,"Potential 1","Sutton",0.450225511758486,"large","small","Eucalyptus diversicolor","Corymbia calophylla","large_small","N_WA","WA",NA,"Canopy","Canopy","Canopy_Canopy"
"39","Eucalyptus diversicolor small","Corymbia calophylla small",-0.0637199200499132,-0.159198881873822,0.031759041773996,-0.066727711898885,-0.0607121282009414,"Potential 1","Sutton",0.190957923647818,"small","small","Eucalyptus diversicolor","Corymbia calophylla","small_small","N_WA","WA",NA,"Canopy","Canopy","Canopy_Canopy"
"40","Eucalyptus diversicolor large","Eucalyptus diversicolor large",-0.131539354463157,-0.37793789173849,0.114859182812176,-0.13738636757331,-0.125692341353004,"Potential 1","Sutton",0.492797074550666,"large","large","Eucalyptus diversicolor","Eucalyptus diversicolor","large_large","N_WA","WA",NA,"Canopy","Canopy","Canopy_Canopy"
