"","site","from","to","alpha","lo","hi","lo_numerical","hi_numerical","Potential","range_ci","sig","species_from","species_to","size_from","size_to"
"301","WogWay","small Non-euc","small Eucalyptus viminalis",-0.281116532244809,-0.536504153980496,-0.0257289105091227,-0.286184590420184,-0.276048474069434,"Potential 1",0.510775243471373,1,"Non-euc","Eucalyptus viminalis","small","small"
"361","WogWay","small Non-euc","small Non-euc",-0.293968510520129,-1.31477595886204,0.726838937821782,-0.310348718733163,-0.277588302307094,"Potential 1",2.04161489668382,NA,"Non-euc","Non-euc","small","small"
"134","Goodenia","large Eucalyptus fastigata","large Eucalyptus fastigata",-0.370650604334174,-0.708102891370137,-0.0331983172982118,-0.378188164609869,-0.36311304405848,"Potential 1",0.674904574071925,1,"Eucalyptus fastigata","Eucalyptus fastigata","large","large"
"223","Goodenia","large Eucalyptus sieberi","large Eucalyptus fastigata",-0.217358949855146,-0.506951764125436,0.0722338644151438,-0.220803469413447,-0.213914430296845,"Potential 1",0.579185628540579,NA,"Eucalyptus sieberi","Eucalyptus fastigata","large","large"
"319","Goodenia","small Eucalyptus fastigata","large Eucalyptus fastigata",0.0831117638511566,-0.138971170719756,0.305194698422069,0.0793007284656511,0.0869227992366622,"Potential 1",0.444165869141825,NA,"Eucalyptus fastigata","Eucalyptus fastigata","small","large"
"413","Goodenia","small Non-euc","large Eucalyptus fastigata",-0.106045118673893,-0.287977176120425,0.0758869387726383,-0.109217683626253,-0.102872553721534,"Potential 1",0.363864114893063,NA,"Non-euc","Eucalyptus fastigata","small","large"
"616","Goodenia","large Eucalyptus sieberi","large Eucalyptus sieberi",0.295886478769444,-0.130643037750242,0.72241599528913,0.288018086045697,0.303754871493191,"Potential 1",0.853059033039372,NA,"Eucalyptus sieberi","Eucalyptus sieberi","large","large"
"78","Goodenia","small Eucalyptus fastigata","large Eucalyptus sieberi",0.00668717321647359,-0.268701761642529,0.282076108075476,0.0028549530839784,0.0105193933489688,"Potential 1",0.550777869718005,NA,"Eucalyptus fastigata","Eucalyptus sieberi","small","large"
"88","Goodenia","small Non-euc","large Eucalyptus sieberi",0.0758329370001388,-0.152128481195148,0.303794355195425,0.0714218867286451,0.0802439872716325,"Potential 1",0.455922836390573,NA,"Non-euc","Eucalyptus sieberi","small","large"
"1114","Goodenia","small Eucalyptus fastigata","small Eucalyptus fastigata",0.280274690679698,-0.0129588043998344,0.573508185759231,0.27361164575992,0.286937735599477,"Potential 1",0.586466990159065,NA,"Eucalyptus fastigata","Eucalyptus fastigata","small","small"
