"","from","to","alpha","lo","hi","lo_numerical","hi_numerical","se","Potential","site","range_ci","size_from","size_to","class_from","class_to","int","size_int","which"
"318","Subcanopy large","Canopy large",-0.020773871118847,-0.177057683481823,0.135509941244129,-0.025907523577904,-0.01564021865979,0.079738104167078,"Potential 1","Weeaproinah",0.312567624725952," large"," large","Subcanopy","Canopy","Subcanopy large_Canopy large"," large large","between"
"416","Subcanopy small","Canopy large",0.0326338747694076,-0.0378566216393603,0.103124371178176,0.0302277930552189,0.0350399564835964,0.0359651998530524,"Potential 1","Weeaproinah",0.140980992817536," small"," large","Subcanopy","Canopy","Subcanopy small_Canopy large","small large","between"
"618","Canopy small","Canopy small",-0.11359286124874,-0.304320838281287,0.0771351157838075,-0.123566679371415,-0.103619043126065,0.097311980494022,"Potential 1","Weeaproinah",0.381455954065095," small"," small","Canopy","Canopy","Canopy small_Canopy small"," small small","within"
"712","Subcanopy large","Canopy small",0.0666175876162516,-0.0587301452992476,0.191965320531751,0.0619142731967633,0.0713209020357399,0.0639541001284851,"Potential 1","Weeaproinah",0.250695465830998," large"," small","Subcanopy","Canopy","Subcanopy large_Canopy small","small large","between"
"812","Subcanopy small","Canopy small",-0.0160205490505966,-0.0703760342973635,0.0383349361961703,-0.0185018207233694,-0.0135392773778238,0.02773290003057,"Potential 1","Weeaproinah",0.108710970493534," small"," small","Subcanopy","Canopy","Subcanopy small_Canopy small"," small small","between"
"1116","Subcanopy large","Subcanopy large",-0.22108998492126,-0.438580714714337,-0.00359925512818302,-0.231893072313646,-0.210286897528874,0.110966697096792,"Potential 1","Weeaproinah",0.434981459586154," large"," large","Subcanopy","Subcanopy","Subcanopy large_Subcanopy large"," large large","within"
"1213","Subcanopy small","Subcanopy large",-0.00406566153970735,-0.0626815766200704,0.0545502535406557,-0.0068902676118415,-0.0012410554675732,0.029906628663954,"Potential 1","Weeaproinah",0.117231830160726," small"," large","Subcanopy","Subcanopy","Subcanopy small_Subcanopy large","small large","within"
"1612","Subcanopy small","Subcanopy small",0.340387650588875,0.230188820984792,0.450586480192958,0.325356653295186,0.355418647882564,0.0562249258013501,"Potential 1","Weeaproinah",0.220397659208166," small"," small","Subcanopy","Subcanopy","Subcanopy small_Subcanopy small"," small small","within"
"139","Canopy large","Canopy large",-0.684239771117626,-1.10161702913191,-0.266862513103343,-0.704679900972662,-0.66379964126259,0.212951493653201,"Potential 1","ANU363",0.834754516028566," large"," large","Canopy","Canopy","Canopy large_Canopy large"," large large","within"
"223","Canopy small","Canopy large",-0.252839049084669,-0.394452830876715,-0.111225267292624,-0.25876720008888,-0.246910898080459,0.0722532571562932,"Potential 1","ANU363",0.283227563584091," small"," large","Canopy","Canopy","Canopy small_Canopy large","small large","within"
"417","Canopy small","Canopy small",-0.00205723263606902,-0.183306447456622,0.179191982184484,-0.00695019692273511,0.00283573165059706,0.0924757884584738,"Potential 1","ANU363",0.362498429641107," small"," small","Canopy","Canopy","Canopy small_Canopy small"," small small","within"
"140","Canopy large","Canopy large",-0.452012721798497,-0.856501888113688,-0.0475235554833054,-0.468368865248153,-0.435656578348841,0.206375815834245,"Potential 1","ANU589",0.808978332630383," large"," large","Canopy","Canopy","Canopy large_Canopy large"," large large","within"
"224","Canopy small","Canopy large",-0.0727071313193989,-0.272115602755305,0.126701340116507,-0.0777782978654267,-0.067635964773371,0.101740885551375,"Potential 1","ANU589",0.398816942871812," small"," large","Canopy","Canopy","Canopy small_Canopy large","small large","within"
"319","Subcanopy large","Canopy large",-0.116039168406697,-0.454400129465596,0.222321792652202,-0.120785351924627,-0.111292984888767,0.172636315630209,"Potential 1","ANU589",0.676721922117798," large"," large","Subcanopy","Canopy","Subcanopy large_Canopy large"," large large","between"
"418","Subcanopy small","Canopy large",-0.0670474907290289,-0.156847542107592,0.0227525606495339,-0.0703979162688315,-0.0636970651892262,0.045817194645868,"Potential 1","ANU589",0.179600102757125," small"," large","Subcanopy","Canopy","Subcanopy small_Canopy large","small large","between"
"619","Canopy small","Canopy small",-0.0511281579459218,-0.295621817360966,0.193365501469122,-0.059059379937356,-0.0431969359544876,0.124743955166309,"Potential 1","ANU589",0.488987318830088," small"," small","Canopy","Canopy","Canopy small_Canopy small"," small small","within"
"713","Subcanopy large","Canopy small",0.298603264012546,-0.0535844435850916,0.650790971610183,0.292022030503578,0.305184497521513,0.17969090777976,"Potential 1","ANU589",0.704375415195275," large"," small","Subcanopy","Canopy","Subcanopy large_Canopy small","small large","between"
"813","Subcanopy small","Canopy small",-0.125662474584886,-0.207121653647854,-0.0442032955219191,-0.128204470621437,-0.123120478548336,0.0415615693479609,"Potential 1","ANU589",0.162918358125935," small"," small","Subcanopy","Canopy","Subcanopy small_Canopy small"," small small","between"
"1117","Subcanopy large","Subcanopy large",-0.438244931483588,-1.31341467781472,0.436924814847539,-0.448582911522061,-0.427906951445115,0.446523381671477,"Potential 1","ANU589",1.75033949266225," large"," large","Subcanopy","Subcanopy","Subcanopy large_Subcanopy large"," large large","within"
"1214","Subcanopy small","Subcanopy large",0.096214425875837,-0.0793438695517437,0.271772721303418,0.0929977430915534,0.0994311086601205,0.0895722048019056,"Potential 1","ANU589",0.351116590855161," small"," large","Subcanopy","Subcanopy","Subcanopy small_Subcanopy large","small large","within"
"1613","Subcanopy small","Subcanopy small",0.265592811324655,0.126676271345861,0.404509351303448,0.255894479541699,0.275291143107611,0.0708770880865922,"Potential 1","ANU589",0.277833079957587," small"," small","Subcanopy","Subcanopy","Subcanopy small_Subcanopy small"," small small","within"
"141","Canopy large","Canopy large",-1.2594372389308,-2.15180900403322,-0.36706547382839,-1.27463145996257,-1.24424301789904,0.455300083134858,"Potential 1","Turtons",1.78474353020483," large"," large","Canopy","Canopy","Canopy large_Canopy large"," large large","within"
"225","Canopy small","Canopy large",0.317475863857809,-0.213735296773352,0.848687024488969,0.308645516038387,0.326306211677231,0.271031082622582,"Potential 1","Turtons",1.06242232126232," small"," large","Canopy","Canopy","Canopy small_Canopy large","small large","within"
"320","Subcanopy large","Canopy large",0.212632150782768,-0.176986030219496,0.602250331785033,0.205726685560568,0.219537616004969,0.198788439009861,"Potential 1","Turtons",0.779236362004529," large"," large","Subcanopy","Canopy","Subcanopy large_Canopy large"," large large","between"
"419","Subcanopy small","Canopy large",0.00477563219092301,-0.105933952414018,0.115485216795864,0.00227184768997227,0.00727941669187375,0.0564855198759796,"Potential 1","Turtons",0.221419169209883," small"," large","Subcanopy","Canopy","Subcanopy small_Canopy large","small large","between"
"620","Canopy small","Canopy small",-0.420158321640733,-0.959024735387585,0.118708092106118,-0.427143281943582,-0.413173361337884,0.274936895778372,"Potential 1","Turtons",1.0777328274937," small"," small","Canopy","Canopy","Canopy small_Canopy small"," small small","within"
"714","Subcanopy large","Canopy small",-0.0320912975938679,-0.206763439036507,0.142580843848771,-0.0353123506027269,-0.028870244585009,0.0891200771138812,"Potential 1","Turtons",0.349344282885279," large"," small","Subcanopy","Canopy","Subcanopy large_Canopy small","small large","between"
"814","Subcanopy small","Canopy small",0.0133284278868849,-0.102492796070681,0.129149651844451,0.0104283883345228,0.016228467439247,0.0590935470606344,"Potential 1","Turtons",0.231642447915132," small"," small","Subcanopy","Canopy","Subcanopy small_Canopy small"," small small","between"
"1118","Subcanopy large","Subcanopy large",0.0290968692196804,-0.170424408931012,0.228618147370373,0.0206041451579213,0.0375895932814394,0.10179844105529,"Potential 1","Turtons",0.399042556301384," large"," large","Subcanopy","Subcanopy","Subcanopy large_Subcanopy large"," large large","within"
"1215","Subcanopy small","Subcanopy large",0.0696894231991342,-0.0236469345158609,0.163025780914129,0.0655249555265466,0.0738538908717219,0.0476214657265238,"Potential 1","Turtons",0.18667271542999," small"," large","Subcanopy","Subcanopy","Subcanopy small_Subcanopy large","small large","within"
"1614","Subcanopy small","Subcanopy small",0.109269437225909,-0.0295478073115567,0.248086681763374,0.0984040321357551,0.120134842316063,0.0708264262162154,"Potential 1","Turtons",0.277634489074931," small"," small","Subcanopy","Subcanopy","Subcanopy small_Subcanopy small"," small small","within"
"142","Canopy large","Canopy large",-0.169312765891347,-0.449895464277419,0.111269932494726,-0.174738334909436,-0.163887196873258,0.143157068496806,"Potential 1","Lardner",0.561165396772145," large"," large","Canopy","Canopy","Canopy large_Canopy large"," large large","within"
"226","Canopy small","Canopy large",-0.0703158017474977,-0.216806142786852,0.0761745392918564,-0.0731769922349848,-0.0674546112600106,0.0747413433077604,"Potential 1","Lardner",0.292980682078708," small"," large","Canopy","Canopy","Canopy small_Canopy large","small large","within"
"321","Subcanopy large","Canopy large",0.0276698827805643,-0.125382234661757,0.180722000222886,0.0242339941248831,0.0311057714362456,0.0780892499298851,"Potential 1","Lardner",0.306104234884643," large"," large","Subcanopy","Canopy","Subcanopy large_Canopy large"," large large","between"
"420","Subcanopy small","Canopy large",0.0207702744508889,-0.100287466675282,0.141828015577059,0.0174295878139105,0.0241109610878673,0.0617652885874734,"Potential 1","Lardner",0.242115482252341," small"," large","Subcanopy","Canopy","Subcanopy small_Canopy large","small large","between"
"621","Canopy small","Canopy small",0.0727739893753487,-0.132121086309504,0.277669065060202,0.0669507152154796,0.0785972635352178,0.104540224872007,"Potential 1","Lardner",0.409790151369706," small"," small","Canopy","Canopy","Canopy small_Canopy small"," small small","within"
"715","Subcanopy large","Canopy small",0.124333179537773,-0.0106286566078855,0.259295015683431,0.120441294719926,0.12822506435562,0.0688593449727751,"Potential 1","Lardner",0.269923672291317," large"," small","Subcanopy","Canopy","Subcanopy large_Canopy small","small large","between"
"815","Subcanopy small","Canopy small",-0.0361868116677503,-0.128773823620784,0.0564002002852839,-0.0391382642630136,-0.0332353590724869,0.0472391394348819,"Potential 1","Lardner",0.185174023906068," small"," small","Subcanopy","Canopy","Subcanopy small_Canopy small"," small small","between"
"1119","Subcanopy large","Subcanopy large",-0.131245610071048,-0.374551705537429,0.112060485395332,-0.140802262551779,-0.121688957590317,0.124138044058742,"Potential 1","Lardner",0.486612190932761," large"," large","Subcanopy","Subcanopy","Subcanopy large_Subcanopy large"," large large","within"
"1216","Subcanopy small","Subcanopy large",-0.0621945230545427,-0.165410408105355,0.0410213619962691,-0.0663770086463039,-0.0580120374627815,0.0526621335213124,"Potential 1","Lardner",0.206431770101624," small"," large","Subcanopy","Subcanopy","Subcanopy small_Subcanopy large","small large","within"
"1615","Subcanopy small","Subcanopy small",-0.171897012758207,-0.378837559485928,0.0350435339695138,-0.184986713445184,-0.15880731207123,0.105583851723828,"Potential 1","Lardner",0.413881093455442," small"," small","Subcanopy","Subcanopy","Subcanopy small_Subcanopy small"," small small","within"
"143","Canopy large","Canopy large",-1.09936153616624,-2.01604289813469,-0.182680174197791,-1.12515315784652,-1.07356991448597,0.467703166588323,"Potential 1","HardyCreek",1.8333627239369," large"," large","Canopy","Canopy","Canopy large_Canopy large"," large large","within"
"227","Canopy small","Canopy large",-0.0351225646274372,-0.287729015887641,0.217483886632766,-0.0406444197731056,-0.0296007094817688,0.128883210738938,"Potential 1","HardyCreek",0.505212902520407," small"," large","Canopy","Canopy","Canopy small_Canopy large","small large","within"
"322","Subcanopy large","Canopy large",-0.564767062423844,-1.21696561266932,0.08743148782163,-0.574994275960457,-0.554539848887231,0.332760476921991,"Potential 1","HardyCreek",1.30439710049095," large"," large","Subcanopy","Canopy","Subcanopy large_Canopy large"," large large","between"
"421","Subcanopy small","Canopy large",0.483349031713067,0.0738575026060768,0.892840560820058,0.475991525928894,0.490706537497241,0.20892808864704,"Potential 1","HardyCreek",0.818983058213981," small"," large","Subcanopy","Canopy","Subcanopy small_Canopy large","small large","between"
"622","Canopy small","Canopy small",0.101790675482429,-0.0803967527604678,0.283978103725325,0.0958043615497868,0.107776989415071,0.0929544775720206,"Potential 1","HardyCreek",0.364374856485793," small"," small","Canopy","Canopy","Canopy small_Canopy small"," small small","within"
"716","Subcanopy large","Canopy small",0.00917119665490213,-0.242913480630364,0.261255873940169,0.00589719607022353,0.0124451972395807,0.128616994635452,"Potential 1","HardyCreek",0.504169354570533," large"," small","Subcanopy","Canopy","Subcanopy large_Canopy small","small large","between"
"816","Subcanopy small","Canopy small",0.0362080833697417,-0.122686669570742,0.195102836310225,0.032884762888644,0.0395314038508394,0.0810702411849529,"Potential 1","HardyCreek",0.317789505880967," small"," small","Subcanopy","Canopy","Subcanopy small_Canopy small"," small small","between"
"1120","Subcanopy large","Subcanopy large",-0.417696792369743,-1.10471814217578,0.269324557436292,-0.424236862143351,-0.411156722596134,0.350527537865579,"Potential 1","HardyCreek",1.37404269961207," large"," large","Subcanopy","Subcanopy","Subcanopy large_Subcanopy large"," large large","within"
"1217","Subcanopy small","Subcanopy large",0.298981290099813,-0.123583320375207,0.721545900574832,0.293755011763035,0.304207568436591,0.21559815068448,"Potential 1","HardyCreek",0.845129220950039," small"," large","Subcanopy","Subcanopy","Subcanopy small_Subcanopy large","small large","within"
"1616","Subcanopy small","Subcanopy small",-0.060943468899884,-0.396153007198716,0.274266069398947,-0.0671927611888667,-0.0546941766109014,0.171028417329564,"Potential 1","HardyCreek",0.670419076597663," small"," small","Subcanopy","Subcanopy","Subcanopy small_Subcanopy small"," small small","within"
"144","Canopy large","Canopy large",-0.289961699049178,-0.741657461590101,0.161734063491746,-0.29615977308348,-0.283763625014876,0.230461256484222,"Potential 1","MinesRd",0.903391525081848," large"," large","Canopy","Canopy","Canopy large_Canopy large"," large large","within"
"228","Canopy small","Canopy large",-0.06806713378247,-0.304660533217464,0.168526265652524,-0.0712474532315303,-0.0648868143334098,0.120713136211284,"Potential 1","MinesRd",0.473186798869988," small"," large","Canopy","Canopy","Canopy small_Canopy large","small large","within"
"323","Subcanopy large","Canopy large",0.0316910932275394,-0.177692266198472,0.241074452653551,0.0288550526122872,0.0345271338427916,0.106830207635243,"Potential 1","MinesRd",0.418766718852023," large"," large","Subcanopy","Canopy","Subcanopy large_Canopy large"," large large","between"
"422","Subcanopy small","Canopy large",0.000197709669182426,-0.108430491416931,0.108825910755295,-0.00160586681575352,0.00200128615411837,0.0554235699956522,"Potential 1","MinesRd",0.217256402172226," small"," large","Subcanopy","Canopy","Subcanopy small_Canopy large","small large","between"
"623","Canopy small","Canopy small",0.206629245222256,-0.0210732530361466,0.434331743480658,0.200208595934694,0.213049894509817,0.116176878786799,"Potential 1","MinesRd",0.455404996516804," small"," small","Canopy","Canopy","Canopy small_Canopy small"," small small","within"
"717","Subcanopy large","Canopy small",0.0941375969611045,-0.0706295368983134,0.258904730820522,0.0907901222667338,0.0974850716554753,0.0840664089539808,"Potential 1","MinesRd",0.329534267718836," large"," small","Subcanopy","Canopy","Subcanopy large_Canopy small","small large","between"
"817","Subcanopy small","Canopy small",0.00746066585171529,-0.0704814193422616,0.0854027510456922,0.0052496719843323,0.00967165971909828,0.0397671007267348,"Potential 1","MinesRd",0.155884170387954," small"," small","Subcanopy","Canopy","Subcanopy small_Canopy small"," small small","between"
"1121","Subcanopy large","Subcanopy large",-0.0356573152451058,-0.255933407701483,0.184618777211271,-0.0399516615198154,-0.0313629689703963,0.112387826610023,"Potential 1","MinesRd",0.440552184912755," large"," large","Subcanopy","Subcanopy","Subcanopy large_Subcanopy large"," large large","within"
"1218","Subcanopy small","Subcanopy large",-0.0216655993882634,-0.106056845645023,0.0627256468684961,-0.0235305300237776,-0.0198006687527492,0.043057549486841,"Potential 1","MinesRd",0.168782492513519," small"," large","Subcanopy","Subcanopy","Subcanopy small_Subcanopy large","small large","within"
"1617","Subcanopy small","Subcanopy small",0.336927492515031,0.21136101036994,0.462493974660123,0.328931648893083,0.344923336136979,0.064065708929115,"Potential 1","MinesRd",0.251132964290183," small"," small","Subcanopy","Subcanopy","Subcanopy small_Subcanopy small"," small small","within"
"145","Canopy large","Canopy large",-0.209040192686033,-0.759204549613252,0.341124164241185,-0.216455168970534,-0.201625216401533,0.280701258424565,"Potential 1","Tinebank",1.10032871385444," large"," large","Canopy","Canopy","Canopy large_Canopy large"," large large","within"
"229","Canopy small","Canopy large",0.0283496853559015,-0.220260859266652,0.276960229978455,0.0241688565081056,0.0325305142036974,0.126844445399794,"Potential 1","Tinebank",0.497221089245106," small"," large","Canopy","Canopy","Canopy small_Canopy large","small large","within"
"324","Subcanopy large","Canopy large",-0.0490666001514903,-0.198599164311326,0.100465964008346,-0.0514179744523358,-0.0467152258506447,0.0762935264827975,"Potential 1","Tinebank",0.299065128319672," large"," large","Subcanopy","Canopy","Subcanopy large_Canopy large"," large large","between"
"423","Subcanopy small","Canopy large",0.100154303158213,-0.0554594293446968,0.255768035661122,0.0961856035802075,0.104123002736218,0.0793962204052578,"Potential 1","Tinebank",0.311227465005819," small"," large","Subcanopy","Canopy","Subcanopy small_Canopy large","small large","between"
"56","Unid tree large","Canopy large",0.00361623866553279,-0.240307704867557,0.247540182198622,6.10424172368474e-05,0.00717143491382873,0.124453278456712,"Potential 1","Tinebank",0.487847887066179," tree large"," large","Unid","Canopy","Unid tree large_Canopy large"," tree large large","between"
"624","Unid tree small","Canopy large",-0.105598995278001,-0.324458114134151,0.113260123578149,-0.109270511632425,-0.101927478923577,0.11166486761108,"Potential 1","Tinebank",0.437718237712301," tree small"," large","Unid","Canopy","Unid tree small_Canopy large"," tree small large","between"
"818","Canopy small","Canopy small",-0.112200883557833,-0.421177007291642,0.196775240175977,-0.120429537175209,-0.103972229940456,0.157643776197407,"Potential 1","Tinebank",0.61795224746762," small"," small","Canopy","Canopy","Canopy small_Canopy small"," small small","within"
"96","Subcanopy large","Canopy small",-0.0075164557785265,-0.156791106436104,0.141758194879051,-0.0103584345356108,-0.00467447702144217,0.0761619355432228,"Potential 1","Tinebank",0.298549301315155," large"," small","Subcanopy","Canopy","Subcanopy large_Canopy small","small large","between"
"10","Subcanopy small","Canopy small",-0.140899822629013,-0.254007328230957,-0.0277923170270698,-0.144122621932974,-0.137677023325053,0.0577089714372924,"Potential 1","Tinebank",0.226215011203887," small"," small","Subcanopy","Canopy","Subcanopy small_Canopy small"," small small","between"
