"","from","to","alpha","mean_effect","quan_0","quan_25","quan_50","quan_75","quan_100","site","class_int","species_from","species_to","which_species","int","group","se","sig","lo","hi","range_ci"
"207","Eucalyptus regnans large","Eucalyptus regnans large",-0.276859696652329,0.597225382265596,0.159740486057146,0.448492858488644,0.568535779563955,0.76189650792591,1.04722561989796,"ANU101","large_large","Eucalyptus regnans","Eucalyptus regnans","within","Eucalyptus regnans large_Eucalyptus regnans large","within_species_large_large",0.171469364660574,NA,-0.597673477070141,0.0744740813032407,0.672147558373382
"208","Eucalyptus regnans large","Eucalyptus regnans small",-0.17118316548667,0.48200002269783,0.159109694603582,0.385637332360952,0.462442533600089,0.591936437462993,0.82868435710568,"ANU101","large_small","Eucalyptus regnans","Eucalyptus regnans","within","Eucalyptus regnans large_Eucalyptus regnans small","within_species_large_small",NA,NA,NA,NA,NA
"209","Eucalyptus regnans small","Pomaderris aspera small",-0.0872473160226821,0.656126560582855,0.333810442109616,0.566758637377631,0.63351973693785,0.768811785029804,0.928075423422534,"ANU101","small_small","Eucalyptus regnans","Pomaderris aspera","between","Eucalyptus regnans small_Pomaderris aspera small","between_species_small_small",NA,NA,NA,NA,NA
"210","Eucalyptus regnans large","Pomaderris aspera small",-0.0292684488297127,0.89378402395542,0.789431781422324,0.872934349541497,0.892866206898517,0.918005980423413,0.966285295680825,"ANU101","large_small","Eucalyptus regnans","Pomaderris aspera","between","Eucalyptus regnans large_Pomaderris aspera small","between_species_large_small",NA,NA,NA,NA,NA
"211","Eucalyptus regnans small","Eucalyptus regnans small",-0.0147951733779783,2.4641511425989,1.29021804984594,1.90843728796749,2.31736272612782,2.98282333310828,3.98106245645084,"ANU101","small_small","Eucalyptus regnans","Eucalyptus regnans","within","Eucalyptus regnans small_Eucalyptus regnans small","within_species_small_small",0.10347104017731,NA,-0.22222457209889,0.18337445228196,0.40559902438085
"212","Pomaderris aspera small","Pomaderris aspera small",0.209708312394539,5.86063963202157,1.88167500543058,4.11848048455813,5.38978809962505,7.04740856297786,18.7339244848636,"ANU101","small_small","Pomaderris aspera","Pomaderris aspera","within","Pomaderris aspera small_Pomaderris aspera small","within_species_small_small",0.0759565815092072,1,0.0605927578603184,0.358337086153972,0.297744328293654
"213","Eucalyptus regnans large","Eucalyptus regnans large",-0.728832106419383,0.0737046745533862,0.00449604544736084,0.0356010723748257,0.0645018442749057,0.0998523673696986,0.42315079705873,"Ada Tree","large_large","Eucalyptus regnans","Eucalyptus regnans","within","Eucalyptus regnans large_Eucalyptus regnans large","within_species_large_large",0.221418043803861,1,-1.16558602776433,-0.297643244998569,0.867942782765761
"214","Eucalyptus regnans small","Eucalyptus regnans small",-0.271011687281097,0.137663952461087,0.0303718436431029,0.0764858811705896,0.116377830028119,0.163694546375394,0.578953525289683,"Ada Tree","small_small","Eucalyptus regnans","Eucalyptus regnans","within","Eucalyptus regnans small_Eucalyptus regnans small","within_species_small_small",0.142012699013784,NA,-0.550550305356216,0.00612924547246974,0.556679550828686
"215","Eucalyptus regnans large","Eucalyptus regnans small",-0.216599579783781,0.351946936440677,0.16302403420511,0.294210375067302,0.356746120365916,0.407831046921448,0.611154098637978,"Ada Tree","large_small","Eucalyptus regnans","Eucalyptus regnans","within","Eucalyptus regnans large_Eucalyptus regnans small","within_species_large_small",NA,NA,NA,NA,NA
"216","Eucalyptus regnans large","Acacia melanoxylon small",-0.0608976851415107,0.756775633978265,0.601608691673936,0.727908879616085,0.766905880607969,0.795118765422107,0.88742678746945,"Ada Tree","large_small","Eucalyptus regnans","Acacia melanoxylon","between","Eucalyptus regnans large_Acacia melanoxylon small","between_species_large_small",0.0641180411656918,NA,-0.177491406573619,0.0738466963144059,0.251338102888025
