,from,to,alpha,lo,hi,lo_numerical,hi_numerical,Potential,site,range_ci,size_from,size_to,species_from,species_to,size_int,georegion,region,sig,class_from,class_to,class_int
39,Eucalyptus diversicolor small,Corymbia calophylla small,-0.06371992,-0.159198882,0.031759042,-0.066727712,-0.060712128,Potential 1,Sutton,0.190957924,small,small,Eucalyptus diversicolor,Corymbia calophylla,small_small,N_WA,WA,NA,Canopy,Canopy,Canopy_Canopy
40,Eucalyptus diversicolor large,Eucalyptus diversicolor large,-0.131539354,-0.377937892,0.114859183,-0.137386368,-0.125692341,Potential 1,Sutton,0.492797075,large,large,Eucalyptus diversicolor,Eucalyptus diversicolor,large_large,N_WA,WA,NA,Canopy,Canopy,Canopy_Canopy
41,Eucalyptus diversicolor small,Eucalyptus diversicolor large,-0.062214922,-0.169598499,0.045168656,-0.064807453,-0.05962239,Potential 1,Sutton,0.214767155,small,large,Eucalyptus diversicolor,Eucalyptus diversicolor,small_large,N_WA,WA,NA,Canopy,Canopy,Canopy_Canopy
42,Eucalyptus diversicolor small,Eucalyptus diversicolor small,-0.002630363,-0.212246306,0.20698558,-0.010389081,0.005128356,Potential 1,Sutton,0.419231886,small,small,Eucalyptus diversicolor,Eucalyptus diversicolor,small_small,N_WA,WA,NA,Canopy,Canopy,Canopy_Canopy
43,Allocasuarina decussata large,Allocasuarina decussata large,-0.150883809,-0.526011837,0.224244218,-0.158299261,-0.143468358,Potential 1,Giants,0.750256054,large,large,Allocasuarina decussata,Allocasuarina decussata,large_large,S_WA,WA,NA,Subcanopy,Subcanopy,Subcanopy_Subcanopy
44,Allocasuarina decussata small,Allocasuarina decussata large,-0.018450825,-0.131268415,0.094366765,-0.020733318,-0.016168332,Potential 1,Giants,0.22563518,small,large,Allocasuarina decussata,Allocasuarina decussata,small_large,S_WA,WA,NA,Subcanopy,Subcanopy,Subcanopy_Subcanopy
45,Eucalyptus jacksonii large,Allocasuarina decussata large,-0.276768586,-0.551751777,-0.001785394,-0.283179043,-0.270358129,Potential 1,Giants,0.549966383,large,large,Eucalyptus jacksonii,Allocasuarina decussata,large_large,S_WA,WA,1,Subcanopy,Canopy,Canopy_Subcanopy
46,Eucalyptus jacksonii small,Allocasuarina decussata large,-0.009772752,-0.185095253,0.165549748,-0.014323007,-0.005222498,Potential 1,Giants,0.350645001,small,large,Eucalyptus jacksonii,Allocasuarina decussata,small_large,S_WA,WA,NA,Subcanopy,Canopy,Canopy_Subcanopy
47,Allocasuarina decussata small,Allocasuarina decussata small,0.330189559,0.193774567,0.466604551,0.323796211,0.336582907,Potential 1,Giants,0.272829984,small,small,Allocasuarina decussata,Allocasuarina decussata,small_small,S_WA,WA,1,Subcanopy,Subcanopy,Subcanopy_Subcanopy
48,Eucalyptus jacksonii large,Allocasuarina decussata small,-0.018607603,-0.189178837,0.151963631,-0.0214623,-0.015752907,Potential 1,Giants,0.341142468,large,small,Eucalyptus jacksonii,Allocasuarina decussata,large_small,S_WA,WA,NA,Subcanopy,Canopy,Canopy_Subcanopy
49,Eucalyptus jacksonii small,Allocasuarina decussata small,-0.02828162,-0.12602584,0.0694626,-0.030399301,-0.026163939,Potential 1,Giants,0.195488439,small,small,Eucalyptus jacksonii,Allocasuarina decussata,small_small,S_WA,WA,NA,Subcanopy,Canopy,Canopy_Subcanopy
50,Eucalyptus jacksonii large,Eucalyptus jacksonii large,-0.510112715,-0.992070947,-0.028154483,-0.531539069,-0.488686361,Potential 1,Giants,0.963916465,large,large,Eucalyptus jacksonii,Eucalyptus jacksonii,large_large,S_WA,WA,1,Canopy,Canopy,Canopy_Canopy
51,Eucalyptus jacksonii small,Eucalyptus jacksonii large,0.369735492,0.103908205,0.635562779,0.356697789,0.382773195,Potential 1,Giants,0.531654574,small,large,Eucalyptus jacksonii,Eucalyptus jacksonii,small_large,S_WA,WA,1,Canopy,Canopy,Canopy_Canopy
52,Eucalyptus jacksonii small,Eucalyptus jacksonii small,0.336920035,0.173512327,0.500327742,0.326010388,0.347829682,Potential 1,Giants,0.326815414,small,small,Eucalyptus jacksonii,Eucalyptus jacksonii,small_small,S_WA,WA,1,Canopy,Canopy,Canopy_Canopy
53,Eucalyptus diversicolor large,Eucalyptus diversicolor large,-0.142266777,-0.382693578,0.098160025,-0.148008437,-0.136525116,Potential 1,Warren,0.480853603,large,large,Eucalyptus diversicolor,Eucalyptus diversicolor,large_large,N_WA,WA,NA,Canopy,Canopy,Canopy_Canopy
54,Eucalyptus diversicolor small,Eucalyptus diversicolor large,-0.234357163,-0.377219251,-0.091495075,-0.237791922,-0.230922403,Potential 1,Warren,0.285724176,small,large,Eucalyptus diversicolor,Eucalyptus diversicolor,small_large,N_WA,WA,1,Canopy,Canopy,Canopy_Canopy
55,Trymalium odoratissimum small,Eucalyptus diversicolor large,-0.043174693,-0.145165437,0.058816052,-0.04625757,-0.040091815,Potential 1,Warren,0.203981489,small,large,Trymalium odoratissimum,Eucalyptus diversicolor,small_large,N_WA,WA,NA,Canopy,Subcanopy,Subcanopy_Canopy
