"","from","to","value","lo","hi","Site","Genus_from","Genus_to"
"123","Eucalyptus regnans Suppressed","Eucalyptus regnans Dominant",0.338526525624605,-0.278641535901334,0.955694587150545,"Ada Tree","Eucalyptus","Eucalyptus"
"124","Misc Suppressed","Eucalyptus regnans Dominant",-0.134729698112281,-1.04459954897503,0.775140152750471,"Ada Tree","Misc","Eucalyptus"
"125","Acacia melanoxylon Suppressed","Eucalyptus regnans Intermediate",0.034484391477805,-0.120190130724551,0.189158913680161,"Ada Tree","Acacia","Eucalyptus"
"126","Eucalyptus regnans Co-dominant","Eucalyptus regnans Intermediate",-0.217187733118452,-0.557462378638596,0.123086912401692,"Ada Tree","Eucalyptus","Eucalyptus"
"127","Eucalyptus regnans Dominant","Eucalyptus regnans Intermediate",-0.27227844073426,-0.885933299436704,0.341376417968183,"Ada Tree","Eucalyptus","Eucalyptus"
"128","Eucalyptus regnans Intermediate","Eucalyptus regnans Intermediate",-0.43207474646745,-0.88685791368204,0.0227084207471394,"Ada Tree","Eucalyptus","Eucalyptus"
"129","Eucalyptus regnans Suppressed","Eucalyptus regnans Intermediate",-0.425316410632744,-0.86059332531137,0.00996050404588211,"Ada Tree","Eucalyptus","Eucalyptus"
"130","Misc Suppressed","Eucalyptus regnans Intermediate",-0.130983921152114,-0.465456331281955,0.203488488977726,"Ada Tree","Misc","Eucalyptus"
"131","Acacia melanoxylon Suppressed","Eucalyptus regnans Suppressed",0.129499076262639,-0.0669490566028489,0.325947209128128,"Ada Tree","Acacia","Eucalyptus"
"132","Eucalyptus regnans Co-dominant","Eucalyptus regnans Suppressed",-0.342772311306291,-0.804948751621751,0.119404129009169,"Ada Tree","Eucalyptus","Eucalyptus"
"133","Eucalyptus regnans Dominant","Eucalyptus regnans Suppressed",0.338526525624605,-0.278641535901334,0.955694587150545,"Ada Tree","Eucalyptus","Eucalyptus"
"134","Eucalyptus regnans Intermediate","Eucalyptus regnans Suppressed",-0.425316410632744,-0.86059332531137,0.00996050404588211,"Ada Tree","Eucalyptus","Eucalyptus"
"135","Eucalyptus regnans Suppressed","Eucalyptus regnans Suppressed",-0.626219613539213,-1.49249028800822,0.24005106092979,"Ada Tree","Eucalyptus","Eucalyptus"
"136","Misc Suppressed","Eucalyptus regnans Suppressed",0.072237186602624,-0.274581562330024,0.419055935535272,"Ada Tree","Misc","Eucalyptus"
"137","Acacia melanoxylon Suppressed","Misc Suppressed",-0.275788739270806,-0.467980804840452,-0.0835966737011596,"Ada Tree","Acacia","Misc"
"138","Eucalyptus regnans Co-dominant","Misc Suppressed",0.187582553208564,-0.134081080718224,0.509246187135352,"Ada Tree","Eucalyptus","Misc"
"139","Eucalyptus regnans Dominant","Misc Suppressed",-0.134729698112281,-1.04459954897503,0.775140152750471,"Ada Tree","Eucalyptus","Misc"
"140","Eucalyptus regnans Intermediate","Misc Suppressed",-0.130983921152114,-0.465456331281955,0.203488488977726,"Ada Tree","Eucalyptus","Misc"
"141","Eucalyptus regnans Suppressed","Misc Suppressed",0.072237186602624,-0.274581562330024,0.419055935535272,"Ada Tree","Eucalyptus","Misc"
"142","Misc Suppressed","Misc Suppressed",0.265302396995424,-0.0654133117259396,0.596018105716787,"Ada Tree","Misc","Misc"
"143","Acacia melanoxylon Suppressed","Acacia melanoxylon Suppressed",0.186125353976802,0.0583219419998657,0.313928765953738,"Weeaproinah","Acacia","Acacia"
"144","Eucalyptus regnans Co-dominant","Acacia melanoxylon Suppressed",0.0425772478381979,-0.0933730649466909,0.178527560623087,"Weeaproinah","Eucalyptus","Acacia"
"145","Eucalyptus regnans Dominant","Acacia melanoxylon Suppressed",0.0588323615965907,-0.143087764601522,0.260752487794703,"Weeaproinah","Eucalyptus","Acacia"
"146","Eucalyptus regnans Intermediate","Acacia melanoxylon Suppressed",0.0571155930884989,-0.103867196982021,0.218098383159019,"Weeaproinah","Eucalyptus","Acacia"
"147","Eucalyptus regnans Suppressed","Acacia melanoxylon Suppressed",-0.0444283363333894,-0.140959507636409,0.0521028349696303,"Weeaproinah","Eucalyptus","Acacia"
"148","Nematolepis squamea Suppressed","Acacia melanoxylon Suppressed",0.0429841968076935,-0.0178568293821598,0.103825222997547,"Weeaproinah","Nematolepis","Acacia"
"149","Acacia melanoxylon Suppressed","Eucalyptus regnans Co-dominant",0.0425772478381979,-0.0933730649466909,0.178527560623087,"Weeaproinah","Acacia","Eucalyptus"
"150","Eucalyptus regnans Co-dominant","Eucalyptus regnans Co-dominant",-0.436078010485114,-0.742481523976017,-0.129674496994211,"Weeaproinah","Eucalyptus","Eucalyptus"
"151","Eucalyptus regnans Dominant","Eucalyptus regnans Co-dominant",-0.290517655567652,-0.620164537161863,0.0391292260265581,"Weeaproinah","Eucalyptus","Eucalyptus"
"152","Eucalyptus regnans Intermediate","Eucalyptus regnans Co-dominant",-0.124884403750935,-0.401548612430592,0.151779804928722,"Weeaproinah","Eucalyptus","Eucalyptus"
"153","Eucalyptus regnans Suppressed","Eucalyptus regnans Co-dominant",0.0176911365898441,-0.175135226732471,0.210517499912159,"Weeaproinah","Eucalyptus","Eucalyptus"
"154","Nematolepis squamea Suppressed","Eucalyptus regnans Co-dominant",0.00814106659065402,-0.0726705657626963,0.0889526989440044,"Weeaproinah","Nematolepis","Eucalyptus"
"155","Acacia melanoxylon Suppressed","Eucalyptus regnans Dominant",0.0588323615965907,-0.143087764601522,0.260752487794703,"Weeaproinah","Acacia","Eucalyptus"
"156","Eucalyptus regnans Co-dominant","Eucalyptus regnans Dominant",-0.290517655567652,-0.620164537161863,0.0391292260265581,"Weeaproinah","Eucalyptus","Eucalyptus"
"157","Eucalyptus regnans Dominant","Eucalyptus regnans Dominant",-0.763117246120414,-1.43663127797113,-0.0896032142696931,"Weeaproinah","Eucalyptus","Eucalyptus"
"158","Eucalyptus regnans Intermediate","Eucalyptus regnans Dominant",0.366917466034265,-0.13885795982365,0.872692891892181,"Weeaproinah","Eucalyptus","Eucalyptus"
"159","Eucalyptus regnans Suppressed","Eucalyptus regnans Dominant",0.329465893547851,-0.0380219694315015,0.696953756527203,"Weeaproinah","Eucalyptus","Eucalyptus"
"160","Nematolepis squamea Suppressed","Eucalyptus regnans Dominant",-0.0221905386745667,-0.133680240790071,0.0892991634409372,"Weeaproinah","Nematolepis","Eucalyptus"
"161","Acacia melanoxylon Suppressed","Eucalyptus regnans Intermediate",0.0571155930884989,-0.103867196982021,0.218098383159019,"Weeaproinah","Acacia","Eucalyptus"
"162","Eucalyptus regnans Co-dominant","Eucalyptus regnans Intermediate",-0.124884403750935,-0.401548612430592,0.151779804928722,"Weeaproinah","Eucalyptus","Eucalyptus"
"163","Eucalyptus regnans Dominant","Eucalyptus regnans Intermediate",0.366917466034265,-0.13885795982365,0.872692891892181,"Weeaproinah","Eucalyptus","Eucalyptus"
"164","Eucalyptus regnans Intermediate","Eucalyptus regnans Intermediate",-0.585554759314491,-1.07185720215485,-0.0992523164741367,"Weeaproinah","Eucalyptus","Eucalyptus"
"165","Eucalyptus regnans Suppressed","Eucalyptus regnans Intermediate",-0.201135235986341,-0.434977236507158,0.0327067645344752,"Weeaproinah","Eucalyptus","Eucalyptus"
"166","Nematolepis squamea Suppressed","Eucalyptus regnans Intermediate",0.00417888082568235,-0.0900479191308961,0.0984056807822608,"Weeaproinah","Nematolepis","Eucalyptus"
"167","Acacia melanoxylon Suppressed","Eucalyptus regnans Suppressed",-0.0444283363333894,-0.140959507636409,0.0521028349696303,"Weeaproinah","Acacia","Eucalyptus"
"168","Eucalyptus regnans Co-dominant","Eucalyptus regnans Suppressed",0.0176911365898441,-0.175135226732471,0.210517499912159,"Weeaproinah","Eucalyptus","Eucalyptus"
"169","Eucalyptus regnans Dominant","Eucalyptus regnans Suppressed",0.329465893547851,-0.0380219694315015,0.696953756527203,"Weeaproinah","Eucalyptus","Eucalyptus"
"170","Eucalyptus regnans Intermediate","Eucalyptus regnans Suppressed",-0.201135235986341,-0.434977236507158,0.0327067645344752,"Weeaproinah","Eucalyptus","Eucalyptus"
"171","Eucalyptus regnans Suppressed","Eucalyptus regnans Suppressed",0.0822956489205526,-0.117531908467215,0.28212320630832,"Weeaproinah","Eucalyptus","Eucalyptus"
"172","Nematolepis squamea Suppressed","Eucalyptus regnans Suppressed",0.03457666143734,-0.0299612918160405,0.0991146146907204,"Weeaproinah","Nematolepis","Eucalyptus"
"173","Acacia melanoxylon Suppressed","Nematolepis squamea Suppressed",0.0429841968076935,-0.0178568293821598,0.103825222997547,"Weeaproinah","Acacia","Nematolepis"
"174","Eucalyptus regnans Co-dominant","Nematolepis squamea Suppressed",0.00814106659065402,-0.0726705657626963,0.0889526989440044,"Weeaproinah","Eucalyptus","Nematolepis"
"175","Eucalyptus regnans Dominant","Nematolepis squamea Suppressed",-0.0221905386745667,-0.133680240790071,0.0892991634409372,"Weeaproinah","Eucalyptus","Nematolepis"
"176","Eucalyptus regnans Intermediate","Nematolepis squamea Suppressed",0.00417888082568235,-0.0900479191308961,0.0984056807822608,"Weeaproinah","Eucalyptus","Nematolepis"
"177","Eucalyptus regnans Suppressed","Nematolepis squamea Suppressed",0.03457666143734,-0.0299612918160405,0.0991146146907204,"Weeaproinah","Eucalyptus","Nematolepis"
"178","Nematolepis squamea Suppressed","Nematolepis squamea Suppressed",0.225706690459096,0.115553268248981,0.335860112669211,"Weeaproinah","Nematolepis","Nematolepis"
"179","Acacia melanoxylon Suppressed","Acacia melanoxylon Suppressed",-2.85849470741205,-8.30730580893102,2.59031639410692,"ANU589","Acacia","Acacia"
"180","Bedfordia arborescens Suppressed","Acacia melanoxylon Suppressed",1.09829695354031,-0.454838713234981,2.6514326203156,"ANU589","Bedfordia","Acacia"
"181","Eucalyptus regnans Co-dominant","Acacia melanoxylon Suppressed",0.804621522013146,-0.34829411997777,1.95753716400406,"ANU589","Eucalyptus","Acacia"
"182","Eucalyptus regnans Dominant","Acacia melanoxylon Suppressed",0.814862105691172,-1.99861842733419,3.62834263871653,"ANU589","Eucalyptus","Acacia"
"183","Eucalyptus regnans Intermediate","Acacia melanoxylon Suppressed",-1.43511437917934,-3.30449960980087,0.434270851442204,"ANU589","Eucalyptus","Acacia"
"184","Eucalyptus regnans Suppressed","Acacia melanoxylon Suppressed",0.201686785216651,-1.32908927737702,1.73246284781033,"ANU589","Eucalyptus","Acacia"
"185","Lomatia fraseri Suppressed","Acacia melanoxylon Suppressed",0.215317402508192,-1.09767127245165,1.52830607746804,"ANU589","Lomatia","Acacia"
"186","Olearia argophylla Suppressed","Acacia melanoxylon Suppressed",-2.26836611779164,-6.22577847893612,1.68904624335284,"ANU589","Olearia","Acacia"
"187","Pomaderris aspera Suppressed","Acacia melanoxylon Suppressed",-0.287373659784208,-0.701261043749738,0.126513724181322,"ANU589","Pomaderris","Acacia"
"188","Acacia melanoxylon Suppressed","Bedfordia arborescens Suppressed",1.09829695354031,-0.454838713234981,2.6514326203156,"ANU589","Acacia","Bedfordia"
"189","Bedfordia arborescens Suppressed","Bedfordia arborescens Suppressed",0.0705322804164124,-0.489488786276845,0.63055334710967,"ANU589","Bedfordia","Bedfordia"
"190","Eucalyptus regnans Co-dominant","Bedfordia arborescens Suppressed",-0.254289443249081,-0.702432515180908,0.193853628682747,"ANU589","Eucalyptus","Bedfordia"
"191","Eucalyptus regnans Dominant","Bedfordia arborescens Suppressed",0.353395036627808,-0.464563205127533,1.17135327838315,"ANU589","Eucalyptus","Bedfordia"
"192","Eucalyptus regnans Intermediate","Bedfordia arborescens Suppressed",0.150754302170809,-0.584582746252938,0.886091350594555,"ANU589","Eucalyptus","Bedfordia"
"193","Eucalyptus regnans Suppressed","Bedfordia arborescens Suppressed",-0.0571374661771597,-0.653675834200649,0.539400901846329,"ANU589","Eucalyptus","Bedfordia"
"194","Lomatia fraseri Suppressed","Bedfordia arborescens Suppressed",-0.813934015368468,-2.07175759312632,0.443889562389385,"ANU589","Lomatia","Bedfordia"
"195","Olearia argophylla Suppressed","Bedfordia arborescens Suppressed",0.414338349883147,-0.525383881613556,1.35406058137985,"ANU589","Olearia","Bedfordia"
"196","Pomaderris aspera Suppressed","Bedfordia arborescens Suppressed",0.117731827760162,-0.0565049127985123,0.291968568318836,"ANU589","Pomaderris","Bedfordia"
"197","Acacia melanoxylon Suppressed","Eucalyptus regnans Co-dominant",0.804621522013146,-0.34829411997777,1.95753716400406,"ANU589","Acacia","Eucalyptus"
"198","Bedfordia arborescens Suppressed","Eucalyptus regnans Co-dominant",-0.254289443249081,-0.702432515180908,0.193853628682747,"ANU589","Bedfordia","Eucalyptus"
"199","Eucalyptus regnans Co-dominant","Eucalyptus regnans Co-dominant",-0.509045047623583,-0.917304000257285,-0.10078609498988,"ANU589","Eucalyptus","Eucalyptus"
"200","Eucalyptus regnans Dominant","Eucalyptus regnans Co-dominant",-1.07684313254743,-1.88592001091811,-0.267766254176746,"ANU589","Eucalyptus","Eucalyptus"
"201","Eucalyptus regnans Intermediate","Eucalyptus regnans Co-dominant",-0.0897855157038177,-0.618356103565336,0.438785072157701,"ANU589","Eucalyptus","Eucalyptus"
"202","Eucalyptus regnans Suppressed","Eucalyptus regnans Co-dominant",0.492235990220463,-0.108345757949917,1.09281773839084,"ANU589","Eucalyptus","Eucalyptus"
"203","Lomatia fraseri Suppressed","Eucalyptus regnans Co-dominant",-0.180395262098419,-0.651102501470596,0.290311977273758,"ANU589","Lomatia","Eucalyptus"
"204","Olearia argophylla Suppressed","Eucalyptus regnans Co-dominant",0.0688216035534165,-0.673045991531871,0.810689198638705,"ANU589","Olearia","Eucalyptus"
"205","Pomaderris aspera Suppressed","Eucalyptus regnans Co-dominant",0.154449542551115,-0.0365368707315719,0.345435955833801,"ANU589","Pomaderris","Eucalyptus"
"206","Acacia melanoxylon Suppressed","Eucalyptus regnans Dominant",0.814862105691172,-1.99861842733419,3.62834263871653,"ANU589","Acacia","Eucalyptus"
"207","Bedfordia arborescens Suppressed","Eucalyptus regnans Dominant",0.353395036627808,-0.464563205127533,1.17135327838315,"ANU589","Bedfordia","Eucalyptus"
"208","Eucalyptus regnans Co-dominant","Eucalyptus regnans Dominant",-1.07684313254743,-1.88592001091811,-0.267766254176746,"ANU589","Eucalyptus","Eucalyptus"
"209","Eucalyptus regnans Dominant","Eucalyptus regnans Dominant",-3.0049225005678,-5.55940607024074,-0.450438930894853,"ANU589","Eucalyptus","Eucalyptus"
"210","Eucalyptus regnans Intermediate","Eucalyptus regnans Dominant",0.0906635234543658,-0.945116631097896,1.12644367800663,"ANU589","Eucalyptus","Eucalyptus"
"211","Eucalyptus regnans Suppressed","Eucalyptus regnans Dominant",1.54988902688218,-0.357224555160487,3.45700260892484,"ANU589","Eucalyptus","Eucalyptus"
"212","Lomatia fraseri Suppressed","Eucalyptus regnans Dominant",0.571978714151176,-0.570009511554885,1.71396693985724,"ANU589","Lomatia","Eucalyptus"
"213","Olearia argophylla Suppressed","Eucalyptus regnans Dominant",-0.159127361760988,-2.03758537645486,1.71933065293288,"ANU589","Olearia","Eucalyptus"
"214","Pomaderris aspera Suppressed","Eucalyptus regnans Dominant",0.227582386991178,-0.231020704676577,0.686185478658933,"ANU589","Pomaderris","Eucalyptus"
"215","Acacia melanoxylon Suppressed","Eucalyptus regnans Intermediate",-1.43511437917934,-3.30449960980087,0.434270851442204,"ANU589","Acacia","Eucalyptus"
"216","Bedfordia arborescens Suppressed","Eucalyptus regnans Intermediate",0.150754302170809,-0.584582746252938,0.886091350594555,"ANU589","Bedfordia","Eucalyptus"
"217","Eucalyptus regnans Co-dominant","Eucalyptus regnans Intermediate",-0.0897855157038177,-0.618356103565336,0.438785072157701,"ANU589","Eucalyptus","Eucalyptus"
"218","Eucalyptus regnans Dominant","Eucalyptus regnans Intermediate",0.0906635234543658,-0.945116631097896,1.12644367800663,"ANU589","Eucalyptus","Eucalyptus"
"219","Eucalyptus regnans Intermediate","Eucalyptus regnans Intermediate",-1.71634096389187,-3.23988480187649,-0.19279712590725,"ANU589","Eucalyptus","Eucalyptus"
"220","Eucalyptus regnans Suppressed","Eucalyptus regnans Intermediate",1.59511515256641,0.531252267364931,2.65897803776788,"ANU589","Eucalyptus","Eucalyptus"
"221","Lomatia fraseri Suppressed","Eucalyptus regnans Intermediate",-0.925863117566101,-2.18967806197729,0.337951826845084,"ANU589","Lomatia","Eucalyptus"
"222","Olearia argophylla Suppressed","Eucalyptus regnans Intermediate",-2.10034820459135,-3.6890898947118,-0.511606514470904,"ANU589","Olearia","Eucalyptus"
"223","Pomaderris aspera Suppressed","Eucalyptus regnans Intermediate",0.150430799881822,-0.186660860397763,0.487522460161406,"ANU589","Pomaderris","Eucalyptus"
"224","Acacia melanoxylon Suppressed","Eucalyptus regnans Suppressed",0.201686785216651,-1.32908927737702,1.73246284781033,"ANU589","Acacia","Eucalyptus"
"225","Bedfordia arborescens Suppressed","Eucalyptus regnans Suppressed",-0.0571374661771597,-0.653675834200649,0.539400901846329,"ANU589","Bedfordia","Eucalyptus"
"226","Eucalyptus regnans Co-dominant","Eucalyptus regnans Suppressed",0.492235990220463,-0.108345757949917,1.09281773839084,"ANU589","Eucalyptus","Eucalyptus"
"227","Eucalyptus regnans Dominant","Eucalyptus regnans Suppressed",1.54988902688218,-0.357224555160487,3.45700260892484,"ANU589","Eucalyptus","Eucalyptus"
"228","Eucalyptus regnans Intermediate","Eucalyptus regnans Suppressed",1.59511515256641,0.531252267364931,2.65897803776788,"ANU589","Eucalyptus","Eucalyptus"
"229","Eucalyptus regnans Suppressed","Eucalyptus regnans Suppressed",-1.74646550922455,-2.91285407008909,-0.580076948360004,"ANU589","Eucalyptus","Eucalyptus"
"230","Lomatia fraseri Suppressed","Eucalyptus regnans Suppressed",0.678095091590862,-0.0892317549547681,1.44542193813649,"ANU589","Lomatia","Eucalyptus"
"231","Olearia argophylla Suppressed","Eucalyptus regnans Suppressed",1.31696083665318,0.0925336879272225,2.54138798537915,"ANU589","Olearia","Eucalyptus"
"232","Pomaderris aspera Suppressed","Eucalyptus regnans Suppressed",-0.349635000145617,-0.691770335806026,-0.00749966448520728,"ANU589","Pomaderris","Eucalyptus"
"233","Acacia melanoxylon Suppressed","Lomatia fraseri Suppressed",0.215317402508192,-1.09767127245165,1.52830607746804,"ANU589","Acacia","Lomatia"
"234","Bedfordia arborescens Suppressed","Lomatia fraseri Suppressed",-0.813934015368468,-2.07175759312632,0.443889562389385,"ANU589","Bedfordia","Lomatia"
"235","Eucalyptus regnans Co-dominant","Lomatia fraseri Suppressed",-0.180395262098419,-0.651102501470596,0.290311977273758,"ANU589","Eucalyptus","Lomatia"
