from,to,alpha,lo,hi,lo_numerical,hi_numerical,Site,class_from,class_to,species_from,species_to,class_int,dom_euc
Eucalyptus Co-dominant,Eucalyptus Co-dominant,-0.100185787,-0.610343344,0.409971771,-0.106770754,-0.093600819,BlackBull,Co-dominant,Co-dominant,Eucalyptus,Eucalyptus,Co-dominant_Co-dominant,E. pilularis
Eucalyptus Dominant,Eucalyptus Co-dominant,0.774600455,-0.156719007,1.705919917,0.738350206,0.810850704,BlackBull,Dominant,Co-dominant,Eucalyptus,Eucalyptus,Dominant_Co-dominant,E. pilularis
Eucalyptus Intermediate,Eucalyptus Co-dominant,0.398676345,-0.266730192,1.064082883,0.387937915,0.409414775,BlackBull,Intermediate,Co-dominant,Eucalyptus,Eucalyptus,Intermediate_Co-dominant,E. pilularis
Eucalyptus Suppressed,Eucalyptus Co-dominant,-0.075436115,-0.385809363,0.234937132,-0.080133556,-0.070738675,BlackBull,Suppressed,Co-dominant,Eucalyptus,Eucalyptus,Suppressed_Co-dominant,E. pilularis
Non-euc Suppressed,Eucalyptus Co-dominant,0.045332766,-0.075633301,0.166298832,0.04169964,0.048965891,BlackBull,Suppressed,Co-dominant,Non-euc,Eucalyptus,Suppressed_Co-dominant,E. pilularis
Eucalyptus Dominant,Eucalyptus Dominant,-8.940298797,-21.83212957,3.951531975,-9.086658193,-8.793939401,BlackBull,Dominant,Dominant,Eucalyptus,Eucalyptus,Dominant_Dominant,E. pilularis
Eucalyptus Intermediate,Eucalyptus Dominant,-0.489259246,-2.100836927,1.122318435,-0.52992116,-0.448597332,BlackBull,Intermediate,Dominant,Eucalyptus,Eucalyptus,Intermediate_Dominant,E. pilularis
Eucalyptus Suppressed,Eucalyptus Dominant,1.174641009,-0.255412624,2.604694641,1.150871969,1.198410049,BlackBull,Suppressed,Dominant,Eucalyptus,Eucalyptus,Suppressed_Dominant,E. pilularis
Non-euc Suppressed,Eucalyptus Dominant,-0.254297653,-0.554404676,0.045809371,-0.269870363,-0.238724942,BlackBull,Suppressed,Dominant,Non-euc,Eucalyptus,Suppressed_Dominant,E. pilularis
Eucalyptus Intermediate,Eucalyptus Intermediate,-1.601549405,-3.745019373,0.541920563,-1.620454232,-1.582644579,BlackBull,Intermediate,Intermediate,Eucalyptus,Eucalyptus,Intermediate_Intermediate,E. pilularis
Eucalyptus Suppressed,Eucalyptus Intermediate,0.30054793,-0.313061825,0.914157684,0.291660662,0.309435197,BlackBull,Suppressed,Intermediate,Eucalyptus,Eucalyptus,Suppressed_Intermediate,E. pilularis
Non-euc Suppressed,Eucalyptus Intermediate,-0.146780976,-0.337678416,0.044116464,-0.151625801,-0.141936151,BlackBull,Suppressed,Intermediate,Non-euc,Eucalyptus,Suppressed_Intermediate,E. pilularis
Eucalyptus Suppressed,Eucalyptus Suppressed,0.081572666,-0.274387,0.437532333,0.076061207,0.087084125,BlackBull,Suppressed,Suppressed,Eucalyptus,Eucalyptus,Suppressed_Suppressed,E. pilularis
Non-euc Suppressed,Eucalyptus Suppressed,0.03439764,-0.067410916,0.136206197,0.031367646,0.037427635,BlackBull,Suppressed,Suppressed,Non-euc,Eucalyptus,Suppressed_Suppressed,E. pilularis
Non-euc Suppressed,Non-euc Suppressed,0.153177663,0.02842931,0.277926016,0.140598726,0.165756599,BlackBull,Suppressed,Suppressed,Non-euc,Non-euc,Suppressed_Suppressed,E. pilularis
Eucalyptus Co-dominant,Eucalyptus Co-dominant,0.039199593,-0.319100678,0.397499864,0.033537148,0.044862038,MinesRd,Co-dominant,Co-dominant,Eucalyptus,Eucalyptus,Co-dominant_Co-dominant,E. pilularis
Eucalyptus Dominant,Eucalyptus Co-dominant,-0.56087761,-1.410249743,0.288494523,-0.568446434,-0.553308785,MinesRd,Dominant,Co-dominant,Eucalyptus,Eucalyptus,Dominant_Co-dominant,E. pilularis
Eucalyptus Intermediate,Eucalyptus Co-dominant,-0.705956361,-1.243163318,-0.168749404,-0.712930594,-0.698982128,MinesRd,Intermediate,Co-dominant,Eucalyptus,Eucalyptus,Intermediate_Co-dominant,E. pilularis
Eucalyptus Suppressed,Eucalyptus Co-dominant,0.031617478,-0.221267236,0.284502191,0.027724584,0.035510371,MinesRd,Suppressed,Co-dominant,Eucalyptus,Eucalyptus,Suppressed_Co-dominant,E. pilularis
Non-euc Suppressed,Eucalyptus Co-dominant,-0.070789151,-0.206755056,0.065176754,-0.073606773,-0.067971528,MinesRd,Suppressed,Co-dominant,Non-euc,Eucalyptus,Suppressed_Co-dominant,E. pilularis
Eucalyptus Dominant,Eucalyptus Dominant,-1.27039464,-3.575876495,1.035087215,-1.294790828,-1.245998453,MinesRd,Dominant,Dominant,Eucalyptus,Eucalyptus,Dominant_Dominant,E. pilularis
Eucalyptus Intermediate,Eucalyptus Dominant,-0.340023568,-1.087469979,0.407422844,-0.348918719,-0.331128416,MinesRd,Intermediate,Dominant,Eucalyptus,Eucalyptus,Intermediate_Dominant,E. pilularis
Eucalyptus Suppressed,Eucalyptus Dominant,-0.032566334,-0.632559905,0.567427236,-0.039870349,-0.02526232,MinesRd,Suppressed,Dominant,Eucalyptus,Eucalyptus,Suppressed_Dominant,E. pilularis
Non-euc Suppressed,Eucalyptus Dominant,0.15612358,-0.206903065,0.519150225,0.150347842,0.161899318,MinesRd,Suppressed,Dominant,Non-euc,Eucalyptus,Suppressed_Dominant,E. pilularis
Eucalyptus Intermediate,Eucalyptus Intermediate,-0.312129751,-1.282805193,0.658545691,-0.32604591,-0.298213592,MinesRd,Intermediate,Intermediate,Eucalyptus,Eucalyptus,Intermediate_Intermediate,E. pilularis
Eucalyptus Suppressed,Eucalyptus Intermediate,-0.094308248,-0.43285338,0.244236885,-0.099746824,-0.088869671,MinesRd,Suppressed,Intermediate,Eucalyptus,Eucalyptus,Suppressed_Intermediate,E. pilularis
Non-euc Suppressed,Eucalyptus Intermediate,-0.010579432,-0.169599609,0.148440745,-0.014040772,-0.007118092,MinesRd,Suppressed,Intermediate,Non-euc,Eucalyptus,Suppressed_Intermediate,E. pilularis
Eucalyptus Suppressed,Eucalyptus Suppressed,0.251312871,0.055318022,0.447307721,0.24353882,0.259086923,MinesRd,Suppressed,Suppressed,Eucalyptus,Eucalyptus,Suppressed_Suppressed,E. pilularis
Non-euc Suppressed,Eucalyptus Suppressed,0.047293527,-0.052501196,0.147088249,0.043852681,0.050734372,MinesRd,Suppressed,Suppressed,Non-euc,Eucalyptus,Suppressed_Suppressed,E. pilularis
Non-euc Suppressed,Non-euc Suppressed,0.172627468,0.040354151,0.304900785,0.164605854,0.180649082,MinesRd,Suppressed,Suppressed,Non-euc,Non-euc,Suppressed_Suppressed,E. pilularis
Eucalyptus Co-dominant,Eucalyptus Co-dominant,0.132853182,-0.075400906,0.34110727,0.127287445,0.138418918,A-Tree,Co-dominant,Co-dominant,Eucalyptus,Eucalyptus,Co-dominant_Co-dominant,E. pilularis
Eucalyptus Dominant,Eucalyptus Co-dominant,0.123083093,-0.188986951,0.435153136,0.118408311,0.127757875,A-Tree,Dominant,Co-dominant,Eucalyptus,Eucalyptus,Dominant_Co-dominant,E. pilularis
Eucalyptus Intermediate,Eucalyptus Co-dominant,-0.146195525,-0.315316681,0.02292563,-0.149434002,-0.142957049,A-Tree,Intermediate,Co-dominant,Eucalyptus,Eucalyptus,Intermediate_Co-dominant,E. pilularis
Eucalyptus Suppressed,Eucalyptus Co-dominant,-0.004266089,-0.084983214,0.076451035,-0.006233232,-0.002298947,A-Tree,Suppressed,Co-dominant,Eucalyptus,Eucalyptus,Suppressed_Co-dominant,E. pilularis
Non-euc Suppressed,Eucalyptus Co-dominant,-0.039830826,-0.125103339,0.045441687,-0.042321878,-0.037339774,A-Tree,Suppressed,Co-dominant,Non-euc,Eucalyptus,Suppressed_Co-dominant,E. pilularis
Eucalyptus Dominant,Eucalyptus Dominant,-0.804768161,-1.9445553,0.335018978,-0.818285622,-0.791250699,A-Tree,Dominant,Dominant,Eucalyptus,Eucalyptus,Dominant_Dominant,E. pilularis
Eucalyptus Intermediate,Eucalyptus Dominant,-0.004808809,-0.334701112,0.325083494,-0.009980618,0.000363,A-Tree,Intermediate,Dominant,Eucalyptus,Eucalyptus,Intermediate_Dominant,E. pilularis
Eucalyptus Suppressed,Eucalyptus Dominant,-0.003089812,-0.146198522,0.140018899,-0.005082048,-0.001097575,A-Tree,Suppressed,Dominant,Eucalyptus,Eucalyptus,Suppressed_Dominant,E. pilularis
Non-euc Suppressed,Eucalyptus Dominant,0.116665008,-0.127929169,0.361259185,0.11194044,0.121389576,A-Tree,Suppressed,Dominant,Non-euc,Eucalyptus,Suppressed_Dominant,E. pilularis
Eucalyptus Intermediate,Eucalyptus Intermediate,-0.051669118,-0.320444485,0.217106248,-0.059281962,-0.044056275,A-Tree,Intermediate,Intermediate,Eucalyptus,Eucalyptus,Intermediate_Intermediate,E. pilularis
Eucalyptus Suppressed,Eucalyptus Intermediate,0.128468911,0.012211049,0.244726773,0.124284101,0.132653721,A-Tree,Suppressed,Intermediate,Eucalyptus,Eucalyptus,Suppressed_Intermediate,E. pilularis
Non-euc Suppressed,Eucalyptus Intermediate,-0.011827772,-0.106193976,0.082538432,-0.014819384,-0.008836159,A-Tree,Suppressed,Intermediate,Non-euc,Eucalyptus,Suppressed_Intermediate,E. pilularis
Eucalyptus Suppressed,Eucalyptus Suppressed,0.368424931,0.255615168,0.481234695,0.35845526,0.378394603,A-Tree,Suppressed,Suppressed,Eucalyptus,Eucalyptus,Suppressed_Suppressed,E. pilularis
Non-euc Suppressed,Eucalyptus Suppressed,-0.016845153,-0.069644201,0.035953894,-0.019445013,-0.014245294,A-Tree,Suppressed,Suppressed,Non-euc,Eucalyptus,Suppressed_Suppressed,E. pilularis
Non-euc Suppressed,Non-euc Suppressed,0.153201968,0.031444224,0.274959713,0.143462008,0.162941929,A-Tree,Suppressed,Suppressed,Non-euc,Non-euc,Suppressed_Suppressed,E. pilularis
Eucalyptus Co-dominant,Eucalyptus Co-dominant,-0.111168782,-0.584112342,0.361774778,-0.117901535,-0.10443603,Lorne,Co-dominant,Co-dominant,Eucalyptus,Eucalyptus,Co-dominant_Co-dominant,E. pilularis
Eucalyptus Dominant,Eucalyptus Co-dominant,0.732810791,-0.519088625,1.984710207,0.719703345,0.745918237,Lorne,Dominant,Co-dominant,Eucalyptus,Eucalyptus,Dominant_Co-dominant,E. pilularis
Eucalyptus Intermediate,Eucalyptus Co-dominant,-1.208109956,-2.354368945,-0.061850967,-1.224120159,-1.192099753,Lorne,Intermediate,Co-dominant,Eucalyptus,Eucalyptus,Intermediate_Co-dominant,E. pilularis
Eucalyptus Suppressed,Eucalyptus Co-dominant,-0.040021519,-0.213561078,0.133518041,-0.043323927,-0.03671911,Lorne,Suppressed,Co-dominant,Eucalyptus,Eucalyptus,Suppressed_Co-dominant,E. pilularis
Non-euc Suppressed,Eucalyptus Co-dominant,0.094055338,-0.078641399,0.266752075,0.090364634,0.097746042,Lorne,Suppressed,Co-dominant,Non-euc,Eucalyptus,Suppressed_Co-dominant,E. pilularis
Eucalyptus Dominant,Eucalyptus Dominant,-4.125812181,-11.47101834,3.219393982,-4.181205303,-4.070419059,Lorne,Dominant,Dominant,Eucalyptus,Eucalyptus,Dominant_Dominant,E. pilularis
Eucalyptus Intermediate,Eucalyptus Dominant,0.768744589,-0.914538603,2.452027781,0.74525593,0.792233248,Lorne,Intermediate,Dominant,Eucalyptus,Eucalyptus,Intermediate_Dominant,E. pilularis
Eucalyptus Suppressed,Eucalyptus Dominant,0.392200371,-0.62657746,1.410978203,0.383775476,0.400625267,Lorne,Suppressed,Dominant,Eucalyptus,Eucalyptus,Suppressed_Dominant,E. pilularis
Non-euc Suppressed,Eucalyptus Dominant,-0.104611105,-0.818128521,0.608906311,-0.109327103,-0.099895106,Lorne,Suppressed,Dominant,Non-euc,Eucalyptus,Suppressed_Dominant,E. pilularis
Eucalyptus Intermediate,Eucalyptus Intermediate,-1.494395831,-3.985824358,0.997032696,-1.519296143,-1.469495519,Lorne,Intermediate,Intermediate,Eucalyptus,Eucalyptus,Intermediate_Intermediate,E. pilularis
Eucalyptus Suppressed,Eucalyptus Intermediate,0.026236077,-0.178345621,0.230817775,0.022185796,0.030286358,Lorne,Suppressed,Intermediate,Eucalyptus,Eucalyptus,Suppressed_Intermediate,E. pilularis
Non-euc Suppressed,Eucalyptus Intermediate,0.220347708,-0.1572582,0.597953615,0.213982687,0.226712728,Lorne,Suppressed,Intermediate,Non-euc,Eucalyptus,Suppressed_Intermediate,E. pilularis
Eucalyptus Suppressed,Eucalyptus Suppressed,0.164234699,-0.003892212,0.332361609,0.154342424,0.174126973,Lorne,Suppressed,Suppressed,Eucalyptus,Eucalyptus,Suppressed_Suppressed,E. pilularis
Non-euc Suppressed,Eucalyptus Suppressed,-0.086956058,-0.153350547,-0.020561568,-0.08975886,-0.084153255,Lorne,Suppressed,Suppressed,Non-euc,Eucalyptus,Suppressed_Suppressed,E. pilularis
Non-euc Suppressed,Non-euc Suppressed,-0.029253975,-0.194053253,0.135545304,-0.040128331,-0.018379619,Lorne,Suppressed,Suppressed,Non-euc,Non-euc,Suppressed_Suppressed,E. pilularis
Eucalyptus Co-dominant,Eucalyptus Co-dominant,-0.223358585,-0.714465364,0.267748195,-0.230855212,-0.215861957,BirdTree,Co-dominant,Co-dominant,Eucalyptus,Eucalyptus,Co-dominant_Co-dominant,E. pilularis
Eucalyptus Dominant,Eucalyptus Co-dominant,0.217008343,-0.187908649,0.621925336,0.210495617,0.22352107,BirdTree,Dominant,Co-dominant,Eucalyptus,Eucalyptus,Dominant_Co-dominant,E. pilularis
Eucalyptus Intermediate,Eucalyptus Co-dominant,-0.101886234,-1.332427227,1.128654759,-0.116807033,-0.086965435,BirdTree,Intermediate,Co-dominant,Eucalyptus,Eucalyptus,Intermediate_Co-dominant,E. pilularis
Eucalyptus Suppressed,Eucalyptus Co-dominant,0.041939392,-0.199578665,0.28345745,0.039209664,0.04466912,BirdTree,Suppressed,Co-dominant,Eucalyptus,Eucalyptus,Suppressed_Co-dominant,E. pilularis
Non-euc Suppressed,Eucalyptus Co-dominant,0.056813227,-0.068472004,0.182098459,0.053113168,0.060513287,BirdTree,Suppressed,Co-dominant,Non-euc,Eucalyptus,Suppressed_Co-dominant,E. pilularis
Eucalyptus Dominant,Eucalyptus Dominant,-0.304849356,-0.734864829,0.125166117,-0.3131928,-0.296505913,BirdTree,Dominant,Dominant,Eucalyptus,Eucalyptus,Dominant_Dominant,E. pilularis
Eucalyptus Intermediate,Eucalyptus Dominant,-0.539320538,-1.442243717,0.363602642,-0.549014719,-0.529626356,BirdTree,Intermediate,Dominant,Eucalyptus,Eucalyptus,Intermediate_Dominant,E. pilularis
Eucalyptus Suppressed,Eucalyptus Dominant,-0.015799141,-0.247550736,0.215952454,-0.018131637,-0.013466645,BirdTree,Suppressed,Dominant,Eucalyptus,Eucalyptus,Suppressed_Dominant,E. pilularis
Non-euc Suppressed,Eucalyptus Dominant,-0.064697672,-0.163812492,0.034417147,-0.068242385,-0.061152959,BirdTree,Suppressed,Dominant,Non-euc,Eucalyptus,Suppressed_Dominant,E. pilularis
Eucalyptus Intermediate,Eucalyptus Intermediate,-5.145218436,-64.09392013,53.80348326,-5.209521432,-5.080915441,BirdTree,Intermediate,Intermediate,Eucalyptus,Eucalyptus,Intermediate_Intermediate,E. pilularis
Eucalyptus Suppressed,Eucalyptus Intermediate,0.512531421,-1.18390557,2.208968412,0.50481427,0.520248573,BirdTree,Suppressed,Intermediate,Eucalyptus,Eucalyptus,Suppressed_Intermediate,E. pilularis
Non-euc Suppressed,Eucalyptus Intermediate,0.077015755,-0.879361863,1.033393372,0.070699456,0.083332054,BirdTree,Suppressed,Intermediate,Non-euc,Eucalyptus,Suppressed_Intermediate,E. pilularis
Eucalyptus Suppressed,Eucalyptus Suppressed,0.283663089,0.070132178,0.497194,0.2755518,0.291774378,BirdTree,Suppressed,Suppressed,Eucalyptus,Eucalyptus,Suppressed_Suppressed,E. pilularis
Non-euc Suppressed,Eucalyptus Suppressed,-0.053903552,-0.152069507,0.044262404,-0.056345833,-0.051461271,BirdTree,Suppressed,Suppressed,Non-euc,Eucalyptus,Suppressed_Suppressed,E. pilularis
Non-euc Suppressed,Non-euc Suppressed,-0.039197052,-0.182796059,0.104401955,-0.060014507,-0.018379597,BirdTree,Suppressed,Suppressed,Non-euc,Non-euc,Suppressed_Suppressed,E. pilularis
Eucalyptus Co-dominant,Eucalyptus Co-dominant,-0.969136282,-3.342060535,1.40378797,-0.98011448,-0.958158084,Tinebank,Co-dominant,Co-dominant,Eucalyptus,Eucalyptus,Co-dominant_Co-dominant,E. pilularis
Eucalyptus Dominant,Eucalyptus Co-dominant,0.371119531,-0.811349061,1.553588124,0.35689798,0.385341083,Tinebank,Dominant,Co-dominant,Eucalyptus,Eucalyptus,Dominant_Co-dominant,E. pilularis
Non-euc Suppressed,Eucalyptus Co-dominant,-0.020089903,-0.130756058,0.090576252,-0.022013571,-0.018166235,Tinebank,Suppressed,Co-dominant,Non-euc,Eucalyptus,Suppressed_Co-dominant,E. pilularis
Eucalyptus Dominant,Eucalyptus Dominant,-2.950759751,-7.997321517,2.095802014,-2.9979741,-2.903545403,Tinebank,Dominant,Dominant,Eucalyptus,Eucalyptus,Dominant_Dominant,E. pilularis
Non-euc Suppressed,Eucalyptus Dominant,0.156927534,-0.072764454,0.386619522,0.153341709,0.160513359,Tinebank,Suppressed,Dominant,Non-euc,Eucalyptus,Suppressed_Dominant,E. pilularis
Non-euc Suppressed,Non-euc Suppressed,-0.116304927,-0.25914171,0.026531857,-0.132802766,-0.099807087,Tinebank,Suppressed,Suppressed,Non-euc,Non-euc,Suppressed_Suppressed,E. pilularis
Eucalyptus regnans Co-dominant,Eucalyptus regnans Co-dominant,-0.177524538,-0.448900261,0.093851185,-0.18529596,-0.169753115,ANU101,Co-dominant,Co-dominant,Eucalyptus,Eucalyptus,Co-dominant_Co-dominant,E. regnans
Eucalyptus regnans Dominant,Eucalyptus regnans Co-dominant,-0.507250452,-1.006295736,-0.008205167,-0.516781687,-0.497719216,ANU101,Dominant,Co-dominant,Eucalyptus,Eucalyptus,Dominant_Co-dominant,E. regnans
Eucalyptus regnans Intermediate,Eucalyptus regnans Co-dominant,-0.039444539,-0.204779934,0.125890856,-0.042981426,-0.035907652,ANU101,Intermediate,Co-dominant,Eucalyptus,Eucalyptus,Intermediate_Co-dominant,E. regnans
Eucalyptus regnans Suppressed,Eucalyptus regnans Co-dominant,0.133189439,-0.471975947,0.738354825,0.124748308,0.141630571,ANU101,Suppressed,Co-dominant,Eucalyptus,Eucalyptus,Suppressed_Co-dominant,E. regnans
Non-euc Suppressed,Eucalyptus regnans Co-dominant,-0.032953111,-0.148451511,0.082545288,-0.035946539,-0.029959683,ANU101,Suppressed,Co-dominant,Non-euc,Eucalyptus,Suppressed_Co-dominant,E. regnans
Eucalyptus regnans Dominant,Eucalyptus regnans Dominant,-2.461089287,-4.904239136,-0.017939437,-2.493995528,-2.428183046,ANU101,Dominant,Dominant,Eucalyptus,Eucalyptus,Dominant_Dominant,E. regnans
Eucalyptus regnans Intermediate,Eucalyptus regnans Dominant,0.153612427,-0.369369403,0.676594258,0.147502942,0.159721913,ANU101,Intermediate,Dominant,Eucalyptus,Eucalyptus,Intermediate_Dominant,E. regnans
Eucalyptus regnans Suppressed,Eucalyptus regnans Dominant,1.370474699,-0.123616299,2.864565697,1.351108576,1.389840823,ANU101,Suppressed,Dominant,Eucalyptus,Eucalyptus,Suppressed_Dominant,E. regnans
Non-euc Suppressed,Eucalyptus regnans Dominant,0.199541365,-0.138910029,0.53799276,0.194319271,0.20476346,ANU101,Suppressed,Dominant,Non-euc,Eucalyptus,Suppressed_Dominant,E. regnans
Eucalyptus regnans Intermediate,Eucalyptus regnans Intermediate,0.038636336,-0.204243092,0.281515763,0.032563844,0.044708827,ANU101,Intermediate,Intermediate,Eucalyptus,Eucalyptus,Intermediate_Intermediate,E. regnans
Eucalyptus regnans Suppressed,Eucalyptus regnans Intermediate,-0.348435539,-0.908854767,0.211983689,-0.356365023,-0.340506055,ANU101,Suppressed,Intermediate,Eucalyptus,Eucalyptus,Suppressed_Intermediate,E. regnans
Non-euc Suppressed,Eucalyptus regnans Intermediate,-0.146837988,-0.263859173,-0.029816803,-0.149376284,-0.144299692,ANU101,Suppressed,Intermediate,Non-euc,Eucalyptus,Suppressed_Intermediate,E. regnans
Eucalyptus regnans Suppressed,Eucalyptus regnans Suppressed,0.100040315,-1.157542711,1.357623341,0.082191007,0.117889623,ANU101,Suppressed,Suppressed,Eucalyptus,Eucalyptus,Suppressed_Suppressed,E. regnans
Non-euc Suppressed,Eucalyptus regnans Suppressed,-0.154403429,-0.436900069,0.128093211,-0.160223678,-0.148583179,ANU101,Suppressed,Suppressed,Non-euc,Eucalyptus,Suppressed_Suppressed,E. regnans
Non-euc Suppressed,Non-euc Suppressed,0.172042161,0.03358607,0.310498252,0.164477808,0.179606514,ANU101,Suppressed,Suppressed,Non-euc,Non-euc,Suppressed_Suppressed,E. regnans
Eucalyptus regnans Co-dominant,Eucalyptus regnans Co-dominant,-0.551402654,-0.903884296,-0.198921012,-0.566780242,-0.536025066,ANU363,Co-dominant,Co-dominant,Eucalyptus,Eucalyptus,Co-dominant_Co-dominant,E. regnans
Eucalyptus regnans Dominant,Eucalyptus regnans Co-dominant,0.036006053,-0.439209774,0.51122188,0.023966773,0.048045333,ANU363,Dominant,Co-dominant,Eucalyptus,Eucalyptus,Dominant_Co-dominant,E. regnans
Eucalyptus regnans Intermediate,Eucalyptus regnans Co-dominant,-0.174762033,-0.443646189,0.094122123,-0.18087047,-0.168653596,ANU363,Intermediate,Co-dominant,Eucalyptus,Eucalyptus,Intermediate_Co-dominant,E. regnans
Eucalyptus regnans Suppressed,Eucalyptus regnans Co-dominant,-0.637379584,-1.409151321,0.134392154,-0.64881871,-0.625940458,ANU363,Suppressed,Co-dominant,Eucalyptus,Eucalyptus,Suppressed_Co-dominant,E. regnans
Non-euc Suppressed,Eucalyptus regnans Co-dominant,-1.002480458,-1.746739318,-0.258221598,-1.023943074,-0.981017842,ANU363,Suppressed,Co-dominant,Non-euc,Eucalyptus,Suppressed_Co-dominant,E. regnans
Eucalyptus regnans Dominant,Eucalyptus regnans Dominant,-1.836162865,-3.603195716,-0.069130015,-1.870317844,-1.802007886,ANU363,Dominant,Dominant,Eucalyptus,Eucalyptus,Dominant_Dominant,E. regnans
Eucalyptus regnans Intermediate,Eucalyptus regnans Dominant,-0.131617977,-0.691815939,0.428579986,-0.142322141,-0.120913812,ANU363,Intermediate,Dominant,Eucalyptus,Eucalyptus,Intermediate_Dominant,E. regnans
Eucalyptus regnans Suppressed,Eucalyptus regnans Dominant,1.097156056,-0.513636817,2.707948929,1.0522993,1.142012811,ANU363,Suppressed,Dominant,Eucalyptus,Eucalyptus,Suppressed_Dominant,E. regnans
Non-euc Suppressed,Eucalyptus regnans Dominant,0.962695109,0.009692195,1.915698024,0.922772253,1.002617965,ANU363,Suppressed,Dominant,Non-euc,Eucalyptus,Suppressed_Dominant,E. regnans
Eucalyptus regnans Intermediate,Eucalyptus regnans Intermediate,-0.103110614,-0.545731968,0.339510739,-0.111178078,-0.095043151,ANU363,Intermediate,Intermediate,Eucalyptus,Eucalyptus,Intermediate_Intermediate,E. regnans
Eucalyptus regnans Suppressed,Eucalyptus regnans Intermediate,0.773342617,-0.478104903,2.024790136,0.755635927,0.791049307,ANU363,Suppressed,Intermediate,Eucalyptus,Eucalyptus,Suppressed_Intermediate,E. regnans
Non-euc Suppressed,Eucalyptus regnans Intermediate,-0.677095508,-1.87185137,0.517660353,-0.700560274,-0.653630742,ANU363,Suppressed,Intermediate,Non-euc,Eucalyptus,Suppressed_Intermediate,E. regnans
Eucalyptus regnans Suppressed,Eucalyptus regnans Suppressed,-5.626548782,-14.64820682,3.395109253,-5.728887115,-5.52421045,ANU363,Suppressed,Suppressed,Eucalyptus,Eucalyptus,Suppressed_Suppressed,E. regnans
Non-euc Suppressed,Eucalyptus regnans Suppressed,-2.526079548,-6.445787752,1.393628655,-2.607729142,-2.444429955,ANU363,Suppressed,Suppressed,Non-euc,Eucalyptus,Suppressed_Suppressed,E. regnans
Non-euc Suppressed,Non-euc Suppressed,0.225748176,-0.509877933,0.961374285,0.194091565,0.257404787,ANU363,Suppressed,Suppressed,Non-euc,Non-euc,Suppressed_Suppressed,E. regnans
Eucalyptus regnans Co-dominant,Eucalyptus regnans Co-dominant,-0.340042203,-0.649253541,-0.030830866,-0.349834002,-0.330250405,ANU689,Co-dominant,Co-dominant,Eucalyptus,Eucalyptus,Co-dominant_Co-dominant,E. regnans
Eucalyptus regnans Dominant,Eucalyptus regnans Co-dominant,-0.962787853,-1.596999802,-0.328575905,-0.974335822,-0.951239884,ANU689,Dominant,Co-dominant,Eucalyptus,Eucalyptus,Dominant_Co-dominant,E. regnans
Eucalyptus regnans Intermediate,Eucalyptus regnans Co-dominant,-0.05822493,-0.312763109,0.196313249,-0.064141187,-0.052308673,ANU689,Intermediate,Co-dominant,Eucalyptus,Eucalyptus,Intermediate_Co-dominant,E. regnans
Eucalyptus regnans Suppressed,Eucalyptus regnans Co-dominant,0.315147477,-0.10341976,0.733714713,0.30773302,0.322561933,ANU689,Suppressed,Co-dominant,Eucalyptus,Eucalyptus,Suppressed_Co-dominant,E. regnans
Non-euc Suppressed,Eucalyptus regnans Co-dominant,0.030621314,-0.096480068,0.157722697,0.027576452,0.033666177,ANU689,Suppressed,Co-dominant,Non-euc,Eucalyptus,Suppressed_Co-dominant,E. regnans
Eucalyptus regnans Dominant,Eucalyptus regnans Dominant,-2.189707872,-3.904932347,-0.474483397,-2.219562372,-2.159853372,ANU689,Dominant,Dominant,Eucalyptus,Eucalyptus,Dominant_Dominant,E. regnans
Eucalyptus regnans Intermediate,Eucalyptus regnans Dominant,0.031078497,-0.426520769,0.488677763,0.019994494,0.0421625,ANU689,Intermediate,Dominant,Eucalyptus,Eucalyptus,Intermediate_Dominant,E. regnans
Eucalyptus regnans Suppressed,Eucalyptus regnans Dominant,1.42042881,0.036294522,2.804563099,1.398769761,1.44208786,ANU689,Suppressed,Dominant,Eucalyptus,Eucalyptus,Suppressed_Dominant,E. regnans
Non-euc Suppressed,Eucalyptus regnans Dominant,0.193835541,-0.061055939,0.44872702,0.188196585,0.199474497,ANU689,Suppressed,Dominant,Non-euc,Eucalyptus,Suppressed_Dominant,E. regnans
Eucalyptus regnans Intermediate,Eucalyptus regnans Intermediate,-0.486513731,-1.085814472,0.11278701,-0.497095076,-0.475932386,ANU689,Intermediate,Intermediate,Eucalyptus,Eucalyptus,Intermediate_Intermediate,E. regnans
Eucalyptus regnans Suppressed,Eucalyptus regnans Intermediate,0.482632601,-0.093025127,1.05829033,0.474839935,0.490425268,ANU689,Suppressed,Intermediate,Eucalyptus,Eucalyptus,Suppressed_Intermediate,E. regnans
Non-euc Suppressed,Eucalyptus regnans Intermediate,-0.29130568,-0.505633603,-0.076977756,-0.296220855,-0.286390505,ANU689,Suppressed,Intermediate,Non-euc,Eucalyptus,Suppressed_Intermediate,E. regnans
Eucalyptus regnans Suppressed,Eucalyptus regnans Suppressed,-0.858298282,-1.737456227,0.020859663,-0.872170502,-0.844426062,ANU689,Suppressed,Suppressed,Eucalyptus,Eucalyptus,Suppressed_Suppressed,E. regnans
Non-euc Suppressed,Eucalyptus regnans Suppressed,-0.064177214,-0.247348954,0.118994526,-0.067788584,-0.060565845,ANU689,Suppressed,Suppressed,Non-euc,Eucalyptus,Suppressed_Suppressed,E. regnans
