"","site","from","to","alpha","lo","hi","lo_numerical","hi_numerical","Potential","class_from","class_to","species_from","species_to","range_ci","region","sig"
"206","BenRidge","Non-euc Suppressed","Non-euc Intermediate",-0.114844201338282,-0.289874453166382,0.0601860504898168,-0.119047064106204,-0.110641338570361,"Potential 1","Suppressed","Intermediate","Non-euc","Non-euc",0.350060503656198,"Ben_TAS",NA
"257","BenRidge","Non-euc Suppressed","Non-euc Suppressed",0.270615520880214,0.164394868970422,0.376836172790006,0.259317452359929,0.281913589400499,"Potential 1","Suppressed","Suppressed","Non-euc","Non-euc",0.212441303819584,"Ben_TAS",1
"177","MtField","Eucalyptus Co/dominant","Eucalyptus Co/dominant",-0.641077859402793,-1.11301445381594,-0.169141264989649,-0.660198366444601,-0.621957352360985,"Potential 1","Co/dominant","Co/dominant","Eucalyptus","Eucalyptus",0.943873188826288,"S_TAS",1
"248","MtField","Eucalyptus Intermediate","Eucalyptus Co/dominant",0.0385017636607897,-0.198585046462397,0.275588573783977,0.0325530050566552,0.0444505222649242,"Potential 1","Intermediate","Co/dominant","Eucalyptus","Eucalyptus",0.474173620246374,"S_TAS",NA
"342","MtField","Eucalyptus Suppressed","Eucalyptus Co/dominant",0.221936740375401,-0.0102393447280749,0.454112825478878,0.214422987110642,0.229450493640161,"Potential 1","Suppressed","Co/dominant","Eucalyptus","Eucalyptus",0.464352170206953,"S_TAS",NA
"432","MtField","Non-euc Suppressed","Eucalyptus Co/dominant",-0.0201404479487638,-0.13637371043821,0.096092814540682,-0.0250489660668912,-0.0152319298306364,"Potential 1","Suppressed","Co/dominant","Non-euc","Eucalyptus",0.232466524978892,"S_TAS",NA
"635","MtField","Eucalyptus Intermediate","Eucalyptus Intermediate",0.174179771428003,-0.0743573690383424,0.422716911894349,0.169044617703187,0.179314925152819,"Potential 1","Intermediate","Intermediate","Eucalyptus","Eucalyptus",0.497074280932691,"S_TAS",NA
"729","MtField","Eucalyptus Suppressed","Eucalyptus Intermediate",-0.0017009886481527,-0.153975853453396,0.150573876157091,-0.00606294019128609,0.0026609628949807,"Potential 1","Suppressed","Intermediate","Eucalyptus","Eucalyptus",0.304549729610488,"S_TAS",NA
"831","MtField","Non-euc Suppressed","Eucalyptus Intermediate",0.0620419764087434,-0.0243584756313492,0.148442428448836,0.059031139862441,0.0650528129550457,"Potential 1","Suppressed","Intermediate","Non-euc","Eucalyptus",0.172800904080185,"S_TAS",NA
"1127","MtField","Eucalyptus Suppressed","Eucalyptus Suppressed",0.0242644216407206,-0.148193522514005,0.196722365795446,0.0157896484468424,0.0327391948345988,"Potential 1","Suppressed","Suppressed","Eucalyptus","Eucalyptus",0.344915888309452,"S_TAS",NA
"1226","MtField","Non-euc Suppressed","Eucalyptus Suppressed",-0.0173389655836379,-0.0905904200144381,0.0559124888471624,-0.0214309466726585,-0.0132469844946173,"Potential 1","Suppressed","Suppressed","Non-euc","Eucalyptus",0.146502908861601,"S_TAS",NA
"1624","MtField","Non-euc Suppressed","Non-euc Suppressed",0.145461860456193,0.0189972575137098,0.271926463398677,0.130663894367957,0.160259826544429,"Potential 1","Suppressed","Suppressed","Non-euc","Non-euc",0.252929205884967,"S_TAS",1
"178","Caveside","Eucalyptus Co/dominant","Eucalyptus Co/dominant",-0.292500427545384,-0.635442721897229,0.0504418668064602,-0.299880490443063,-0.285120364647706,"Potential 1","Co/dominant","Co/dominant","Eucalyptus","Eucalyptus",0.685884588703689,"N_TAS",NA
"249","Caveside","Eucalyptus Intermediate","Eucalyptus Co/dominant",-0.235299930007988,-0.479226256214631,0.00862639619865507,-0.238884121917776,-0.2317157380982,"Potential 1","Intermediate","Co/dominant","Eucalyptus","Eucalyptus",0.487852652413286,"N_TAS",NA
"343","Caveside","Eucalyptus Suppressed","Eucalyptus Co/dominant",0.139320031653096,-0.00741468441333359,0.286054747719525,0.136518745470118,0.142121317836074,"Potential 1","Suppressed","Co/dominant","Eucalyptus","Eucalyptus",0.293469432132859,"N_TAS",NA
"433","Caveside","Non-euc Suppressed","Eucalyptus Co/dominant",0.00936068706018304,-0.0181085772870535,0.0368299514074196,0.00858758942946865,0.0101337846908974,"Potential 1","Suppressed","Co/dominant","Non-euc","Eucalyptus",0.054938528694473,"N_TAS",NA
"636","Caveside","Eucalyptus Intermediate","Eucalyptus Intermediate",0.0544634090231409,-0.229339509606745,0.338266327653027,0.04840052321242,0.0605262948338618,"Potential 1","Intermediate","Intermediate","Eucalyptus","Eucalyptus",0.567605837259772,"N_TAS",NA
"730","Caveside","Eucalyptus Suppressed","Eucalyptus Intermediate",0.10868851616882,-0.00624702917794738,0.223624061515588,0.10618996199231,0.11118707034533,"Potential 1","Suppressed","Intermediate","Eucalyptus","Eucalyptus",0.229871090693535,"N_TAS",NA
"832","Caveside","Non-euc Suppressed","Eucalyptus Intermediate",-0.0030074482684974,-0.0277369938680006,0.0217220973310058,-0.00371533413858995,-0.00229956239840485,"Potential 1","Suppressed","Intermediate","Non-euc","Eucalyptus",0.0494590911990063,"N_TAS",NA
"1128","Caveside","Eucalyptus Suppressed","Eucalyptus Suppressed",0.0415024226317891,-0.158280740901258,0.241285586164836,0.0316963446675675,0.0513085005960107,"Potential 1","Suppressed","Suppressed","Eucalyptus","Eucalyptus",0.399566327066095,"N_TAS",NA
"1227","Caveside","Non-euc Suppressed","Eucalyptus Suppressed",-0.0385011339466315,-0.0558322778213728,-0.0211699900718902,-0.0394386806605156,-0.0375635872327474,"Potential 1","Suppressed","Suppressed","Non-euc","Eucalyptus",0.0346622877494826,"N_TAS",1
"1625","Caveside","Non-euc Suppressed","Non-euc Suppressed",0.203913588008026,0.0953650018314884,0.312462174184564,0.167718864260105,0.240108311755947,"Potential 1","Suppressed","Suppressed","Non-euc","Non-euc",0.217097172353075,"N_TAS",1
"12","BirdTree","Eucalyptus Co/dominant","Eucalyptus Co/dominant",-0.117523789650205,-0.353166299792168,0.118118720491758,-0.123474281648882,-0.111573297651529,"Potential 1","Co/dominant","Co/dominant","Eucalyptus","Eucalyptus",0.471285020283926,"N_NSW",NA
"230","BirdTree","Eucalyptus Suppressed","Eucalyptus Co/dominant",-0.0248404002087728,-0.157104908030222,0.107424107612676,-0.0269205068208689,-0.0227602935966767,"Potential 1","Suppressed","Co/dominant","Eucalyptus","Eucalyptus",0.264529015642897,"N_NSW",NA
"327","BirdTree","Non-euc Suppressed","Eucalyptus Co/dominant",-0.00737651279575819,-0.0761332536525796,0.0613802280610632,-0.0101119717660675,-0.00464105382544893,"Potential 1","Suppressed","Co/dominant","Non-euc","Eucalyptus",0.137513481713643,"N_NSW",NA
"520","BirdTree","Eucalyptus Suppressed","Eucalyptus Suppressed",0.328836443810121,0.139610708493687,0.518062179126555,0.320113116061774,0.337559771558468,"Potential 1","Suppressed","Suppressed","Eucalyptus","Eucalyptus",0.378451470632867,"N_NSW",1
"627","BirdTree","Non-euc Suppressed","Eucalyptus Suppressed",-0.0439291945744159,-0.110301192259381,0.0224428031105486,-0.0462438126780638,-0.0416145764707681,"Potential 1","Suppressed","Suppressed","Non-euc","Eucalyptus",0.132743995369929,"N_NSW",NA
"920","BirdTree","Non-euc Suppressed","Non-euc Suppressed",-0.0482298645504212,-0.188070304083591,0.0916105749827492,-0.0679135185059319,-0.0285462105949105,"Potential 1","Suppressed","Suppressed","Non-euc","Non-euc",0.279680879066341,"N_NSW",NA
"11","Collins","Eucalyptus Co/dominant","Eucalyptus Co/dominant",-0.262717544361574,-0.680106130892618,0.15467104216947,-0.268235014230318,-0.25720007449283,"Potential 1","Co/dominant","Co/dominant","Eucalyptus","Eucalyptus",0.834777173062087,"WA",NA
"21","Collins","Eucalyptus Suppressed","Eucalyptus Co/dominant",0.029707793346104,-0.208634734338115,0.268050321030324,0.0264387519088309,0.0329768347833772,"Potential 1","Suppressed","Co/dominant","Eucalyptus","Eucalyptus",0.476685055368439,"WA",NA
"31","Collins","Non-euc Suppressed","Eucalyptus Co/dominant",-0.21548095668108,-0.442389716642651,0.0114278032804913,-0.219257522056373,-0.211704391305787,"Potential 1","Suppressed","Co/dominant","Non-euc","Eucalyptus",0.453817519923142,"WA",NA
"5110","Collins","Eucalyptus Suppressed","Eucalyptus Suppressed",0.246308460200243,0.0688174795592937,0.423799440841192,0.239349814321673,0.253267106078812,"Potential 1","Suppressed","Suppressed","Eucalyptus","Eucalyptus",0.354981961281898,"WA",1
"61","Collins","Non-euc Suppressed","Eucalyptus Suppressed",-0.0448377750223776,-0.149265265649507,0.0595897156047519,-0.0475083425904976,-0.0421672074542577,"Potential 1","Suppressed","Suppressed","Non-euc","Eucalyptus",0.208854981254259,"WA",NA
"9110","Collins","Non-euc Suppressed","Non-euc Suppressed",0.348035236213351,0.244154335700152,0.45191613672655,0.335722780803616,0.360347691623085,"Potential 1","Suppressed","Suppressed","Non-euc","Non-euc",0.207761801026398,"WA",1
