"","...1","from","to","alpha","mean_effect","quan_0","quan_25","quan_50","quan_75","quan_100","site","class_from","class_to","class_int","species_from","species_to","which_species","group","int","se","sig","lo","hi","range_ci"
"26",26,"Eucalyptus diversicolor large","Eucalyptus diversicolor large",-0.050304101607365,1.16315302333302,0.924749945852146,1.08558066933946,1.1748255970945,1.24703376093191,1.4503727236303,"Sutton","large","large","large_large","Eucalyptus diversicolor","Eucalyptus diversicolor","within","within_species_large_large","Eucalyptus diversicolor large_Eucalyptus diversicolor large",0.111748611656709,NA,-0.273101626325993,0.164944882013013,0.438046508339006
"27",27,"Corymbia calophylla small","Eucalyptus diversicolor large",-0.00947444697529575,0.962992127136418,0.846492352998003,0.956144517139254,0.983435562533332,0.992017883225689,0.998356670669028,"Sutton","small","large","large_small","Corymbia calophylla","Eucalyptus diversicolor","between","between_species_large_small","Corymbia calophylla small_Eucalyptus diversicolor large",0.0306618258157668,NA,-0.0708653998701071,0.0493267487281797,0.120192148598287
"28",28,"Eucalyptus diversicolor small","Eucalyptus diversicolor small",-0.00290552294289511,1.75531606528723,1.13942829356213,1.3912364923687,1.69772755525762,2.00730857763569,2.84456030569741,"Sutton","small","small","small_small","Eucalyptus diversicolor","Eucalyptus diversicolor","within","within_species_small_small","Eucalyptus diversicolor small_Eucalyptus diversicolor small",0.105921310668572,NA,-0.209858802616272,0.205345105595088,0.41520390821136
"29",29,"Corymbia calophylla small","Acacia melanoxylon small",0.00223037795366417,1.00585463962751,1.00057988039022,1.00257033266481,1.00277402216846,1.00325227690806,1.04961831813732,"Sutton","small","small","small_small","Corymbia calophylla","Acacia melanoxylon","between","between_species_small_small","Corymbia calophylla small_Acacia melanoxylon small",0.0522808344928509,NA,-0.0976774837361481,0.107259621639226,0.204937105375374
"30",30,"Acacia melanoxylon small","Acacia melanoxylon small",0.443188910607368,48.9748039927307,1.13397778576307,5.06235877254478,54.8777120964719,70.4475423401576,117.05994895224,"Sutton","small","small","small_small","Acacia melanoxylon","Acacia melanoxylon","within","within_species_small_small","Acacia melanoxylon small_Acacia melanoxylon small",0.130603186745744,1,0.197820295876571,0.709775380452206,0.511955084575634
"31",31,"Corymbia calophylla small","Corymbia calophylla small",0.483143092008051,63.5039980474447,1.33826225581566,36.589178734857,56.1407155119697,96.6768695328932,142.385345377217,"Sutton","small","small","small_small","Corymbia calophylla","Corymbia calophylla","within","within_species_small_small","Corymbia calophylla small_Corymbia calophylla small",0.0705888061635489,1,0.349378651334844,0.626081686919314,0.27670303558447
"32",32,"Eucalyptus jacksonii large","Eucalyptus jacksonii large",-0.505854333481529,0.0406700631498072,4.06732152460837e-05,0.00019407748441918,0.00207878097368684,0.0220298042388604,0.850955476597154,"Giants","large","large","large_large","Eucalyptus jacksonii","Eucalyptus jacksonii","within","within_species_large_large","Eucalyptus jacksonii large_Eucalyptus jacksonii large",0.245351470944924,1,-0.983074486100563,-0.0213143928886108,0.961760093211953
"33",33,"Allocasuarina decussata large","Eucalyptus jacksonii large",-0.271894138199814,0.651624779271543,0.0945833304737533,0.523250486988408,0.730997333471332,0.824251501291075,0.925229603722558,"Giants","large","large","large_large","Allocasuarina decussata","Eucalyptus jacksonii","between","between_species_large_large","Allocasuarina decussata large_Eucalyptus jacksonii large",0.140138344633543,1,-0.550083898680286,-0.00075168201067477,0.549332216669612
"34",34,"Allocasuarina decussata large","Allocasuarina decussata large",-0.143419899386828,0.94992624915718,0.660154783953242,0.744334028737723,0.942206113283287,1.0756396881599,1.48623765368246,"Giants","large","large","large_large","Allocasuarina decussata","Allocasuarina decussata","within","within_species_large_large","Allocasuarina decussata large_Allocasuarina decussata large",0.194955307786595,NA,-0.536213132985784,0.227997630727511,0.764210763713295
"35",35,"Allocasuarina decussata small","Eucalyptus jacksonii small",-0.0273265602300306,0.93279935227087,0.721010778131397,0.93155344136394,0.953359651933848,0.964958110356922,0.981553961553958,"Giants","small","small","small_small","Allocasuarina decussata","Eucalyptus jacksonii","between","between_species_small_small","Allocasuarina decussata small_Eucalyptus jacksonii small",0.0497118709639424,NA,-0.124357796135715,0.0705091572511445,0.194866953386859
"36",36,"Allocasuarina decussata small","Eucalyptus jacksonii large",-0.0179303539150118,0.945275760787589,0.769313057505452,0.929771329146988,0.959468670391293,0.975390972007856,0.988807427709886,"Giants","small","large","large_small","Allocasuarina decussata","Eucalyptus jacksonii","between","between_species_large_small","Allocasuarina decussata small_Eucalyptus jacksonii large",0.0865326293965333,NA,-0.189020142937315,0.150181531272199,0.339201674209514
