"","from","to","alpha","mean_effect","quan_0","quan_25","quan_50","quan_75","quan_100","site"
"586","Eucalyptus grandis large","Eucalyptus grandis small",-0.10386642874026,0.726871308958022,0.522341917946696,0.660644796570918,0.712267378660819,0.810144423480964,0.953519960523936,"Baldy"
"587","Eucalyptus grandis large","Eucalyptus grandis large",-0.072317108062955,0.780572040181188,0.695181322153799,0.735669829663532,0.76271421706632,0.825144182266064,0.923392168678601,"Baldy"
"588","Allocasuarina torulosa small","Corymbia intermedia small",0.139732008578303,2.00661864116536,1.07958632649672,1.18663136441687,2.152435396749,2.59361245523341,3.69231131080897,"Baldy"
"589","Eucalyptus grandis small","Allocasuarina torulosa small",0.150135850824099,2.08468458097796,1.3510327086669,1.85137909455752,2.09018268488262,2.34300225590681,2.7465551434722,"Baldy"
"590","Eucalyptus grandis small","Corymbia intermedia small",0.160811458534683,2.24288409597497,1.10709449793164,1.99319839221579,2.11830653819906,2.31540091227716,3.43939027457781,"Baldy"
"591","Corymbia intermedia small","Corymbia intermedia small",0.191071274449958,1.1824558736794,0.777620872384819,1.00148430755471,1.16424165215159,1.25363917747983,1.80494127915372,"Baldy"
"592","Corymbia intermedia small","Eucalyptus grandis large",0.202945050331594,2.35619559065251,1.05669118807708,1.15670031884604,1.67469648021573,3.16274127457276,6.51203494986628,"Baldy"
"593","Allocasuarina torulosa small","Allocasuarina torulosa small",0.252827086000093,2.09014387244591,0.984615117593093,1.6868809899321,1.94453247348194,2.59493846639136,3.00768162985091,"Baldy"
"594","Eucalyptus grandis large","Eucalyptus grandis large",-1.12000247592503,0.0555441236451646,0.00491297393368554,0.018945930603175,0.0402367559574945,0.0858924744817904,0.198960052108318,"Koombooloomba"
"595","Eucalyptus grandis large","Eucalyptus grandis small",-0.204064152695135,0.584789682933487,0.338985594493142,0.497327970975345,0.62185653448682,0.676714674384628,0.839899368872639,"Koombooloomba"
"596","Eucalyptus grandis large","Acacia melanoxylon small",-0.188284446924115,0.674181422408736,0.389649714407015,0.576810322846561,0.661917162168352,0.763613415900073,0.933540741662973,"Koombooloomba"
"597","Sloanea langii small","Eucalyptus grandis large",-0.166203570494142,0.610975377319605,0.286185720854856,0.453784106214215,0.55869152429253,0.762808353025398,0.956849292231757,"Koombooloomba"
"598","Syncarpia glomulifera small","Polyscias elegans small",-0.116441043242691,0.773650465221011,0.42450120885885,0.622324912440214,0.84686856082425,0.909336762125087,0.970695972961032,"Koombooloomba"
"599","Sloanea langii small","Acacia melanoxylon large",-0.104405485389424,0.761457258020254,0.476302173508809,0.690044275071827,0.790593905475225,0.859067007073977,0.978629039845243,"Koombooloomba"
"600","Syncarpia glomulifera small","Acacia melanoxylon large",-0.0767110439328801,0.885696039195206,0.59651330951238,0.798200371005746,0.953774491298486,0.97826053400717,0.991834357946773,"Koombooloomba"
"601","Eucalyptus grandis large","Acacia melanoxylon large",-0.0697349444318441,0.823225483166601,0.6736780524766,0.759527845820759,0.832336999655868,0.900630074786053,0.9428299122361,"Koombooloomba"
"602","Sloanea langii small","Eucalyptus grandis small",-0.0365549268849643,0.911578620707155,0.752537965213099,0.880148445147174,0.914350805725499,0.954722878744957,0.983437314321697,"Koombooloomba"
"603","Eucalyptus grandis small","Acacia melanoxylon small",-0.0103338740086558,0.973899472377824,0.913861387955474,0.959511292732138,0.98132555387559,0.990768481340773,0.99759191887537,"Koombooloomba"
"604","Polyscias elegans small","Acacia melanoxylon small",-0.00591989159487862,0.986112358198051,0.944210259078604,0.981783002548363,0.987433833919692,0.993675497453601,0.998916136295508,"Koombooloomba"
"605","Eucalyptus grandis small","Syncarpia glomulifera small",0.0172345592246049,1.06663687647671,1.00878327634586,1.01866048081848,1.07590455391422,1.08613335322488,1.20250727830598,"Koombooloomba"
"606","Acacia melanoxylon small","Sloanea langii small",0.0196101493709826,1.27402798081754,1.08833814749503,1.24657492402029,1.26697674047019,1.3009978230805,1.39416150183887,"Koombooloomba"
"607","Sloanea langii small","Syncarpia glomulifera small",0.0366731718065854,1.15579972958011,1.05314668918216,1.1195405035143,1.13010664238852,1.15023518574724,1.34991209798449,"Koombooloomba"
"608","Acacia melanoxylon small","Syncarpia glomulifera small",0.045305446437482,1.88384163979254,1.4495705341936,1.53332904379216,1.86700281742276,2.07371066469411,2.65077372407456,"Koombooloomba"
"609","Acacia melanoxylon small","Acacia melanoxylon large",0.0470295473058452,1.82783673601822,1.09354986951096,1.43458827918213,1.79311836637454,2.10406135776759,2.64392465892716,"Koombooloomba"
"610","Eucalyptus grandis small","Polyscias elegans small",0.0575873594253625,1.29002505972556,1.05652663751092,1.17672959669991,1.2774337046339,1.35469819064536,1.89130743464274,"Koombooloomba"
"611","Acacia melanoxylon large","Eucalyptus grandis small",0.0594525419017373,1.31246784527151,1.06543439181791,1.13836401536324,1.28673756084871,1.50308054086383,1.61581181359554,"Koombooloomba"
"612","Acacia melanoxylon large","Polyscias elegans small",0.100940882078332,1.57854382130522,1.12469935969986,1.28583612571306,1.57459524938706,1.87764552904177,2.30404669061998,"Koombooloomba"
"613","Polyscias elegans small","Sloanea langii small",0.17487968684911,3.23780327997576,1.17210730529602,1.4701052216423,2.02721106978407,4.06783125920471,8.79072853403597,"Koombooloomba"
"614","Acacia melanoxylon large","Acacia melanoxylon large",0.23916241779783,2.41570100658665,0.934012688552953,1.94746661949537,2.23753235850281,2.69301046942958,4.67851980025983,"Koombooloomba"
"615","Polyscias elegans small","Polyscias elegans small",0.29970130396521,1.11994339144866,0.570626160141348,0.905606999657631,1.17361301531198,1.40281788519694,1.62704293494261,"Koombooloomba"
"616","Sloanea langii small","Sloanea langii small",0.304987753847703,7.56384489326093,1.22337619036368,3.17256071012758,8.08735990158239,10.3703721525115,17.867121415194,"Koombooloomba"
"617","Eucalyptus grandis small","Eucalyptus grandis small",0.347790622897701,11.2726683346697,1.2205869612033,4.05330020087828,7.79436977900584,16.4647654717319,30.3307028797839,"Koombooloomba"
"618","Acacia melanoxylon small","Acacia melanoxylon small",0.354054984128828,18.2919808309879,2.77202574447712,9.48829429283745,15.7430701503362,24.9737576403337,46.8333620581131,"Koombooloomba"
"619","Syncarpia glomulifera small","Syncarpia glomulifera small",0.362940644317523,6.2001272776005,0.940783538719772,2.91975706751878,5.93301438617524,7.923747541455,11.8781375351917,"Koombooloomba"
"620","Eucalyptus grandis large","Syncarpia glomulifera small",0.438587963656295,11.222938538432,2.89978416713312,6.79112862022008,11.6051370116898,12.5951999910549,23.8486610852904,"Koombooloomba"
"621","Polyscias elegans small","Eucalyptus grandis large",0.493193807456353,19.4583799241837,1.42896643395667,1.86236955313121,4.36328867975281,16.0914420435743,150.597767329681,"Koombooloomba"
"622","Eucalyptus ovata large","Eucalyptus ovata large",-1.43110410226765,0.0361743410011359,0.00140698115495985,0.00350299818603569,0.00959902064642608,0.0401445790477304,0.246640313559918,"BlackRiver"
"623","Zieria arborescens small","Zieria arborescens small",-1.19112926456377,0.0276343836206582,0.000977008053702675,0.00439341916256352,0.0220187407516941,0.0364295163619378,0.109465948460938,"BlackRiver"
"624","Monotoca glauca large","Monotoca glauca large",-1.08009590779746,0.0925642948736658,0.00610544324667026,0.0282093249548795,0.0415442207988564,0.0919560505958192,0.696266035678067,"BlackRiver"
"625","Eucalyptus obliqua large","Eucalyptus obliqua large",-0.988645355354047,0.0212526969944335,0.000137025111101564,0.000744874307212495,0.00269944460382759,0.0105411510304274,0.394066519300215,"BlackRiver"
"626","Zieria arborescens small","Nematolepis squamea subsp squamea large",-0.724498342162586,0.472253412833546,0.0568143591459534,0.296700110912634,0.479905915563987,0.640984031030717,0.900599212173861,"BlackRiver"
"627","Monotoca glauca large","Eucalyptus obliqua large",-0.604980570320524,0.310502858799349,0.0669087576077256,0.193581218505809,0.288871679571356,0.438677379546079,0.653849725061899,"BlackRiver"
"628","Eucalyptus ovata small","Eucalyptus ovata small",-0.597682338003639,0.0417986546669812,0.000148427229709127,0.000706767114121246,0.00230990735499346,0.00781806630350198,0.730051848761244,"BlackRiver"
"629","Eucalyptus ovata large","Eucalyptus obliqua large",-0.59511382093702,0.342518334534744,0.0979611704711861,0.227791485887633,0.302758474189344,0.425011485167894,0.848755057230715,"BlackRiver"
"630","Zieria arborescens small","Monotoca glauca small",-0.51329106292601,0.561741427819959,0.0813295849143345,0.355969355059114,0.537000854032027,0.78309857597803,0.96445078950519,"BlackRiver"
"631","Eucalyptus ovata large","Eucalyptus ovata small",-0.505763636925081,0.345942870249791,0.168931610994892,0.240813667162616,0.344895596419417,0.428488390807608,0.690243455851667,"BlackRiver"
"632","Eucalyptus ovata small","Eucalyptus obliqua large",-0.502369082860197,0.389686179142083,0.0110351725118589,0.141769917254676,0.425636024600836,0.616973969497363,0.828114780004807,"BlackRiver"
"633","Zieria arborescens small","Acacia mucronata small",-0.337482887997312,0.62029425559381,0.324417836087329,0.482676150349413,0.581300702852389,0.776355294754715,0.923567339541375,"BlackRiver"
"634","Monotoca glauca large","Nematolepis squamea subsp squamea small",-0.290557206861033,0.619359838315548,0.286394890275255,0.557259430705187,0.626528505211496,0.689897218552999,0.874976023800872,"BlackRiver"
"635","Monotoca glauca large","Eucalyptus obliqua small",-0.220696428744594,0.670426342139059,0.347130137574244,0.59718844278223,0.689825415013545,0.758382792884793,0.884195533468487,"BlackRiver"
"636","Nematolepis squamea subsp squamea large","Eucalyptus obliqua small",-0.215219706437682,0.705403069506658,0.335754566507041,0.570158203460087,0.73533081471793,0.824785760868359,0.976180709007447,"BlackRiver"
"637","Nematolepis squamea subsp squamea large","Nematolepis squamea subsp squamea large",-0.204620997986948,0.277905131503174,0.0896579936043828,0.10020786088362,0.234797646979708,0.368599245918504,0.813524849920983,"BlackRiver"
"638","Nematolepis squamea subsp squamea large","Eucalyptus ovata small",-0.203903137341545,0.665075927802417,0.227346855281529,0.584208010264708,0.688842044464335,0.772609376960506,0.870066354857764,"BlackRiver"
"639","Acacia mucronata small","Monotoca glauca small",-0.181266349094368,0.752942538905126,0.241731853380156,0.652775349846693,0.802359104436615,0.876564260755508,0.993886764024736,"BlackRiver"
"640","Zieria arborescens small","Leptospermum scoparium small",-0.176272918170636,0.73560221295751,0.368222085784819,0.633698611045298,0.740049305947658,0.849820941924727,0.973904733123834,"BlackRiver"
"641","Acacia mucronata small","Leptospermum scoparium small",-0.147568088485918,0.710793238265405,0.262923599851396,0.593382393643474,0.724013236644984,0.886915643720139,0.969056274527878,"BlackRiver"
"642","Nematolepis squamea subsp squamea large","Monotoca glauca small",-0.127992583215939,0.772460371807497,0.481979029257039,0.667786068905661,0.786179435697503,0.877053712515895,0.990182327046808,"BlackRiver"
"643","Eucalyptus obliqua large","Nematolepis squamea subsp squamea small",-0.112687507421369,0.688393448217558,0.383932719907084,0.637634843936718,0.697174635997307,0.758205608978508,0.903237407643651,"BlackRiver"
"644","Nematolepis squamea subsp squamea large","Leptospermum scoparium small",-0.0991651230546709,0.787617785890083,0.484710919000487,0.716247134115844,0.80089957142314,0.869555939278259,0.963405261316077,"BlackRiver"
"645","Eucalyptus ovata small","Monotoca glauca small",-0.0944360011555175,0.782632258405301,0.413529614182645,0.710299295096719,0.830504225733353,0.886240596802937,0.979277284392665,"BlackRiver"
"646","Monotoca glauca large","Acacia mucronata small",-0.0778651463794756,0.83318504130819,0.733960613935318,0.775841700579672,0.841635035683925,0.848439804327762,0.951212978437468,"BlackRiver"
"647","Monotoca glauca small","Monotoca glauca small",-0.0778386803044393,0.300272420292832,0.136202381610376,0.22129832164163,0.268464345807623,0.330350644023515,0.899077924962812,"BlackRiver"
"648","Zieria arborescens small","Nematolepis squamea subsp squamea small",-0.0709239667187446,0.920404203791594,0.689504741297382,0.889374292627646,0.928824383352988,0.965424527528386,0.993442978820842,"BlackRiver"
"649","Zieria arborescens small","Eucalyptus obliqua small",-0.043946892681895,0.927770821055188,0.789599806911491,0.897429167182363,0.934256488065114,0.965884229942398,0.993372367442921,"BlackRiver"
"650","Acacia mucronata small","Eucalyptus obliqua small",-0.0224984475692174,0.956491714298843,0.843902583336505,0.940268698407509,0.961458842665818,0.984079107233208,0.998834526133551,"BlackRiver"
"651","Leptospermum scoparium small","Leptospermum scoparium small",-0.0195660441429732,0.0437297054405167,0.00189214602722767,0.00647582265530514,0.0279780654059997,0.0691312150201166,0.194935125106126,"BlackRiver"
"652","Leptospermum scoparium small","Eucalyptus obliqua small",-0.0150254488860394,0.947257157603763,0.874470698108806,0.935977881910344,0.947418033852723,0.961993575522904,0.990109456595842,"BlackRiver"
"653","Eucalyptus ovata large","Nematolepis squamea subsp squamea small",-0.0149424036802482,0.973007342456835,0.938831791999137,0.966919931267385,0.971979767119278,0.979535202434974,0.994683041784407,"BlackRiver"
"654","Acacia mucronata small","Nematolepis squamea subsp squamea small",-0.0147463996980258,0.963857621896961,0.886546966290356,0.95777809761742,0.968617070950259,0.976336940956615,0.995848216118914,"BlackRiver"
"655","Eucalyptus obliqua small","Nematolepis squamea subsp squamea small",-0.0144379075692056,0.929591122321465,0.84288499702614,0.914163245828067,0.935357797023902,0.943735611263668,0.974636548374593,"BlackRiver"
"656","Nematolepis squamea subsp squamea small","Monotoca glauca small",0.0187866369790223,1.10997945757226,1.00521600899989,1.06021873388112,1.10020170433136,1.1365294976086,1.28471422364929,"BlackRiver"
"657","Nematolepis squamea subsp squamea small","Leptospermum scoparium small",0.0285331029131617,1.26317449011285,1.04674498741971,1.15284695586854,1.24343247381381,1.39345247071814,1.48018715378636,"BlackRiver"
"658","Eucalyptus obliqua small","Eucalyptus obliqua large",0.02963227868919,1.21326520257144,1.06253817770464,1.12930685239775,1.19846393100042,1.27393601460401,1.516223507589,"BlackRiver"
"659","Eucalyptus obliqua small","Eucalyptus ovata small",0.0372781033252232,1.29971555004378,1.10986091960247,1.21609054216114,1.28965961115437,1.34354949621395,1.63318555711307,"BlackRiver"
"660","Acacia mucronata small","Acacia mucronata small",0.0522248954871803,0.851436670073533,0.719604702798368,0.761199901996996,0.82255952933548,0.88513561904238,1.09718910139496,"BlackRiver"
"661","Monotoca glauca small","Eucalyptus obliqua small",0.0526024786746443,1.37073444715614,1.11650591638627,1.24838782533844,1.34042136485836,1.45344234568547,1.82590877155314,"BlackRiver"
"662","Monotoca glauca small","Eucalyptus obliqua large",0.0618663653565027,1.52291489138426,1.15984587449099,1.36930189508244,1.49538269860884,1.67700949775669,2.28665266436878,"BlackRiver"
"663","Leptospermum scoparium small","Monotoca glauca large",0.0701927750182832,1.45806918617625,1.05838868962557,1.39867242036674,1.45560219513398,1.55308841594086,1.75760404773971,"BlackRiver"
"664","Monotoca glauca large","Eucalyptus ovata large",0.0840632058247549,1.29908556448986,1.10468258139892,1.2172991197708,1.3050644658628,1.3760661472021,1.50399056673003,"BlackRiver"
